network_name,p_s_type,p_s_formula,l_max,network_p_s
Comb_AS_AS,dominant,state_based,5,-2.0
Comb_AS_AS,dominant,influence_weighted,5,19.266666666666666
Comb_AS_AS,top30,state_based,5,-2.0
Comb_AS_AS,top30,influence_weighted,5,19.266666666666666
Comb_AS_AS,top60,state_based,5,-0.02055427251732086
Comb_AS_AS,top60,influence_weighted,5,19.266666666666666
Comb_AS_C,dominant,state_based,5,-1.2307692307692308
Comb_AS_C,dominant,influence_weighted,5,11.482051282051282
Comb_AS_C,top30,state_based,5,-0.005899601425737059
Comb_AS_C,top30,influence_weighted,5,11.482051282051282
Comb_AS_C,top60,state_based,5,-0.16359163591635892
Comb_AS_C,top60,influence_weighted,5,11.68059419055729
Comb_AS_E,dominant,state_based,5,-2.0
Comb_AS_E,dominant,influence_weighted,5,19.51190476190476
Comb_AS_E,top30,state_based,5,-2.0
Comb_AS_E,top30,influence_weighted,5,19.51190476190476
Comb_AS_E,top60,state_based,5,-0.0024283043150969256
Comb_AS_E,top60,influence_weighted,5,11.088113045660213
Comb_AS_M,dominant,state_based,5,-2.0
Comb_AS_M,dominant,influence_weighted,5,16.28846153846154
Comb_AS_M,top30,state_based,5,-2.0
Comb_AS_M,top30,influence_weighted,5,16.28846153846154
Comb_AS_M,top60,state_based,5,-0.2921401936060414
Comb_AS_M,top60,influence_weighted,5,14.410335090977997
Comb_AS_PS,dominant,state_based,5,-1.8333333333333335
Comb_AS_PS,dominant,influence_weighted,5,18.04714639296204
Comb_AS_PS,top30,state_based,5,-0.020291828534048977
Comb_AS_PS,top30,influence_weighted,5,12.789139461238921
Comb_AS_PS,top60,state_based,5,-0.03128236092309941
Comb_AS_PS,top60,influence_weighted,5,13.877827469911574
Comb_AS_RS,dominant,state_based,5,2.0
Comb_AS_RS,dominant,influence_weighted,5,21.082668094674673
Comb_AS_RS,top30,state_based,5,0.01015089163237317
Comb_AS_RS,top30,influence_weighted,5,21.08266809467467
Comb_AS_RS,top60,state_based,5,-0.06503043865348034
Comb_AS_RS,top60,influence_weighted,5,18.25350759229754
Comb_C_AS_RS,dominant,state_based,5,2.0
Comb_C_AS_RS,dominant,influence_weighted,5,21.783877129955222
Comb_C_AS_RS,top30,state_based,5,0.3108754208754208
Comb_C_AS_RS,top30,influence_weighted,5,19.6920676061457
Comb_C_AS_RS,top60,state_based,5,0.0704922109927875
Comb_C_AS_RS,top60,influence_weighted,5,16.41228644355256
Comb_C_C,dominant,state_based,5,2.0
Comb_C_C,dominant,influence_weighted,5,9.079999999999998
Comb_C_C,top30,state_based,5,2.0
Comb_C_C,top30,influence_weighted,5,9.079999999999998
Comb_C_C,top60,state_based,5,2.0
Comb_C_C,top60,influence_weighted,5,9.079999999999998
Comb_C_M,dominant,state_based,5,2.0
Comb_C_M,dominant,influence_weighted,5,18.546666666666667
Comb_C_M,top30,state_based,5,2.0
Comb_C_M,top30,influence_weighted,5,18.546666666666667
Comb_C_M,top60,state_based,5,2.0
Comb_C_M,top60,influence_weighted,5,18.546666666666667
Comb_C_PS,dominant,state_based,5,-2.0
Comb_C_PS,dominant,influence_weighted,5,12.947347014405915
Comb_C_PS,top30,state_based,5,-2.0
Comb_C_PS,top30,influence_weighted,5,12.947347014405915
Comb_C_PS,top60,state_based,5,-0.001664176393710254
Comb_C_PS,top60,influence_weighted,5,9.383439120802358
Comb_C_RS,dominant,state_based,5,2.0
Comb_C_RS,dominant,influence_weighted,5,14.900000000000002
Comb_C_RS,top30,state_based,5,2.0
Comb_C_RS,top30,influence_weighted,5,14.900000000000002
Comb_C_RS,top60,state_based,5,0.008586277020411042
Comb_C_RS,top60,influence_weighted,5,14.900000000000002
Comb_E_AS,dominant,state_based,5,2.0
Comb_E_AS,dominant,influence_weighted,5,19.51190476190476
Comb_E_AS,top30,state_based,5,2.0
Comb_E_AS,top30,influence_weighted,5,19.51190476190476
Comb_E_AS,top60,state_based,5,0.012950787009364433
Comb_E_AS,top60,influence_weighted,5,11.123096168984087
Comb_E_C,dominant,state_based,5,2.0
Comb_E_C,dominant,influence_weighted,5,17.178846153846155
Comb_E_C,top30,state_based,5,2.0
Comb_E_C,top30,influence_weighted,5,17.178846153846155
Comb_E_C,top60,state_based,5,0.02575543221968314
Comb_E_C,top60,influence_weighted,5,17.178846153846155
Comb_E_C_AS_RS,dominant,state_based,5,0.9793103448275862
Comb_E_C_AS_RS,dominant,influence_weighted,5,13.823621851500054
Comb_E_C_AS_RS,top30,state_based,5,0.012230453407406194
Comb_E_C_AS_RS,top30,influence_weighted,5,11.814896050180344
Comb_E_C_AS_RS,top60,state_based,5,0.004538298925021504
Comb_E_C_AS_RS,top60,influence_weighted,5,11.384065123841987
Comb_E_E,dominant,state_based,5,-2.0
Comb_E_E,dominant,influence_weighted,5,16.5
Comb_E_E,top30,state_based,5,-2.0
Comb_E_E,top30,influence_weighted,5,16.5
Comb_E_E,top60,state_based,5,-2.0
Comb_E_E,top60,influence_weighted,5,16.5
Comb_E_M,dominant,state_based,5,-2.0
Comb_E_M,dominant,influence_weighted,5,18.6
Comb_E_M,top30,state_based,5,-2.0
Comb_E_M,top30,influence_weighted,5,18.6
Comb_E_M,top60,state_based,5,-0.0038897151355678796
Comb_E_M,top60,influence_weighted,5,18.6
Comb_E_PS,dominant,state_based,5,-1.5294117647058822
Comb_E_PS,dominant,influence_weighted,5,11.727973015473056
Comb_E_PS,top30,state_based,5,-1.5294117647058822
Comb_E_PS,top30,influence_weighted,5,11.727973015473056
Comb_E_PS,top60,state_based,5,-0.004972285944080623
Comb_E_PS,top60,influence_weighted,5,9.584265318344919
Comb_E_PS_RS_AS_C_M,dominant,state_based,5,0.20156774916013437
Comb_E_PS_RS_AS_C_M,dominant,influence_weighted,5,9.331212621768735
Comb_E_PS_RS_AS_C_M,top30,state_based,5,0.03274863695764862
Comb_E_PS_RS_AS_C_M,top30,influence_weighted,5,16.5228731416794
Comb_E_PS_RS_AS_C_M,top60,state_based,5,-0.0070805084230004325
Comb_E_PS_RS_AS_C_M,top60,influence_weighted,5,15.175923201012782
Comb_E_RS,dominant,state_based,5,-1.3333333333333333
Comb_E_RS,dominant,influence_weighted,5,11.987586287677791
Comb_E_RS,top30,state_based,5,-1.333333333333333
Comb_E_RS,top30,influence_weighted,5,11.98758628767779
Comb_E_RS,top60,state_based,5,0.3607128971165543
Comb_E_RS,top60,influence_weighted,5,11.49496986495639
Comb_M_M,dominant,state_based,5,-2.0
Comb_M_M,dominant,influence_weighted,5,4.6499999999999995
Comb_M_M,top30,state_based,5,-2.0
Comb_M_M,top30,influence_weighted,5,4.6499999999999995
Comb_M_M,top60,state_based,5,-2.0
Comb_M_M,top60,influence_weighted,5,4.6499999999999995
Comb_M_PS,dominant,state_based,5,-0.9090909090909091
Comb_M_PS,dominant,influence_weighted,5,9.347587029095353
Comb_M_PS,top30,state_based,5,0.25782145782145743
Comb_M_PS,top30,influence_weighted,5,10.119544441052767
Comb_M_PS,top60,state_based,5,0.05013634315262172
Comb_M_PS,top60,influence_weighted,5,9.990112259860144
Comb_M_RS,dominant,state_based,5,1.0
Comb_M_RS,dominant,influence_weighted,5,7.074999999999999
Comb_M_RS,top30,state_based,5,0.002500568310979964
Comb_M_RS,top30,influence_weighted,5,7.075
Comb_M_RS,top60,state_based,5,0.002666590205298955
Comb_M_RS,top60,influence_weighted,5,8.14025977749742
Comb_PS_PS,dominant,state_based,5,1.3333333333333333
Comb_PS_PS,dominant,influence_weighted,5,12.337261879229619
Comb_PS_PS,top30,state_based,5,1.3333333333333333
Comb_PS_PS,top30,influence_weighted,5,12.337261879229619
Comb_PS_PS,top60,state_based,5,0.012370822961454336
Comb_PS_PS,top60,influence_weighted,5,12.337261879229617
Comb_PS_RS,dominant,state_based,5,-2.0
Comb_PS_RS,dominant,influence_weighted,5,17.122637707979074
Comb_PS_RS,top30,state_based,5,-2.0
Comb_PS_RS,top30,influence_weighted,5,17.122637707979074
Comb_PS_RS,top60,state_based,5,-0.010978072986463383
Comb_PS_RS,top60,influence_weighted,5,14.067278007749787
Comb_RS_RS,dominant,state_based,5,-2.0
Comb_RS_RS,dominant,influence_weighted,5,11.733333333333334
Comb_RS_RS,top30,state_based,5,-2.0
Comb_RS_RS,top30,influence_weighted,5,11.733333333333334
Comb_RS_RS,top60,state_based,5,-2.0
Comb_RS_RS,top60,influence_weighted,5,11.733333333333334
Single_AS,dominant,state_based,5,2.0
Single_AS,dominant,influence_weighted,5,19.266666666666666
Single_AS,top30,state_based,5,2.0
Single_AS,top30,influence_weighted,5,19.266666666666666
Single_AS,top60,state_based,5,0.007798604460254493
Single_AS,top60,influence_weighted,5,19.266666666666662
Single_C,dominant,state_based,5,-2.0
