network_name,p_s_type,p_s_formula,l_max,network_p_s
Comb_AS_AS,dominant,state_based,2,-2.0
Comb_AS_AS,dominant,influence_weighted,2,9.944444444444443
Comb_AS_AS,top30,state_based,2,-2.0
Comb_AS_AS,top30,influence_weighted,2,9.944444444444443
Comb_AS_AS,top60,state_based,2,-0.02055427251732086
Comb_AS_AS,top60,influence_weighted,2,9.944444444444445
Comb_AS_C,dominant,state_based,2,-1.2307692307692308
Comb_AS_C,dominant,influence_weighted,2,5.482905982905983
Comb_AS_C,top30,state_based,2,-0.005899601425737059
Comb_AS_C,top30,influence_weighted,2,5.482905982905983
Comb_AS_C,top60,state_based,2,-0.16359163591635892
Comb_AS_C,top60,influence_weighted,2,5.532541710032485
Comb_AS_E,dominant,state_based,2,-2.0
Comb_AS_E,dominant,influence_weighted,2,9.305555555555554
Comb_AS_E,top30,state_based,2,-2.0
Comb_AS_E,top30,influence_weighted,2,9.305555555555554
Comb_AS_E,top60,state_based,2,-0.0024283043150969256
Comb_AS_E,top60,influence_weighted,2,5.315744990273291
Comb_AS_M,dominant,state_based,2,-2.0
Comb_AS_M,dominant,influence_weighted,2,7.657051282051281
Comb_AS_M,top30,state_based,2,-2.0
Comb_AS_M,top30,influence_weighted,2,7.657051282051281
Comb_AS_M,top60,state_based,2,-0.2921401936060414
Comb_AS_M,top60,influence_weighted,2,6.949913560376731
Comb_AS_PS,dominant,state_based,2,-1.8333333333333335
Comb_AS_PS,dominant,influence_weighted,2,10.350198412698411
Comb_AS_PS,top30,state_based,2,-0.020291828534048977
Comb_AS_PS,top30,influence_weighted,2,6.931547619047619
Comb_AS_PS,top60,state_based,2,-0.03128236092309941
Comb_AS_PS,top60,influence_weighted,2,7.624319480558826
Comb_AS_RS,dominant,state_based,2,2.0
Comb_AS_RS,dominant,influence_weighted,2,9.41865079365079
Comb_AS_RS,top30,state_based,2,0.01015089163237317
Comb_AS_RS,top30,influence_weighted,2,9.41865079365079
Comb_AS_RS,top60,state_based,2,-0.06503043865348034
Comb_AS_RS,top60,influence_weighted,2,7.947410776112139
Comb_C_AS_RS,dominant,state_based,2,2.0
Comb_C_AS_RS,dominant,influence_weighted,2,8.205555555555556
Comb_C_AS_RS,top30,state_based,2,0.3108754208754208
Comb_C_AS_RS,top30,influence_weighted,2,7.275584415584414
Comb_C_AS_RS,top60,state_based,2,0.0704922109927875
Comb_C_AS_RS,top60,influence_weighted,2,5.938336837821337
Comb_C_C,dominant,state_based,2,2.0
Comb_C_C,dominant,influence_weighted,2,4.1
Comb_C_C,top30,state_based,2,2.0
Comb_C_C,top30,influence_weighted,2,4.1
Comb_C_C,top60,state_based,2,2.0
Comb_C_C,top60,influence_weighted,2,4.1
Comb_C_M,dominant,state_based,2,2.0
Comb_C_M,dominant,influence_weighted,2,7.255555555555555
Comb_C_M,top30,state_based,2,2.0
Comb_C_M,top30,influence_weighted,2,7.255555555555555
Comb_C_M,top60,state_based,2,2.0
Comb_C_M,top60,influence_weighted,2,7.255555555555555
Comb_C_PS,dominant,state_based,2,-2.0
Comb_C_PS,dominant,influence_weighted,2,6.6214814814814815
Comb_C_PS,top30,state_based,2,-2.0
Comb_C_PS,top30,influence_weighted,2,6.621481481481482
Comb_C_PS,top60,state_based,2,-0.001664176393710254
Comb_C_PS,top60,influence_weighted,2,5.037048745688831
Comb_C_RS,dominant,state_based,2,2.0
Comb_C_RS,dominant,influence_weighted,2,6.708333333333333
Comb_C_RS,top30,state_based,2,2.0
Comb_C_RS,top30,influence_weighted,2,6.708333333333333
Comb_C_RS,top60,state_based,2,0.008586277020411042
Comb_C_RS,top60,influence_weighted,2,6.708333333333333
Comb_E_AS,dominant,state_based,2,2.0
Comb_E_AS,dominant,influence_weighted,2,9.305555555555554
Comb_E_AS,top30,state_based,2,2.0
Comb_E_AS,top30,influence_weighted,2,9.305555555555554
Comb_E_AS,top60,state_based,2,0.012950787009364433
Comb_E_AS,top60,influence_weighted,2,5.332314255011283
Comb_E_C,dominant,state_based,2,2.0
Comb_E_C,dominant,influence_weighted,2,7.326923076923077
Comb_E_C,top30,state_based,2,2.0
Comb_E_C,top30,influence_weighted,2,7.326923076923077
Comb_E_C,top60,state_based,2,0.02575543221968314
Comb_E_C,top60,influence_weighted,2,7.326923076923077
Comb_E_C_AS_RS,dominant,state_based,2,0.9793103448275862
Comb_E_C_AS_RS,dominant,influence_weighted,2,3.9003831417624513
Comb_E_C_AS_RS,top30,state_based,2,0.012230453407406194
Comb_E_C_AS_RS,top30,influence_weighted,2,3.908651176008138
Comb_E_C_AS_RS,top60,state_based,2,0.004538298925021504
Comb_E_C_AS_RS,top60,influence_weighted,2,4.178113459799584
Comb_E_E,dominant,state_based,2,-2.0
Comb_E_E,dominant,influence_weighted,2,9.916666666666666
Comb_E_E,top30,state_based,2,-2.0
Comb_E_E,top30,influence_weighted,2,9.916666666666666
Comb_E_E,top60,state_based,2,-2.0
Comb_E_E,top60,influence_weighted,2,9.916666666666666
Comb_E_M,dominant,state_based,2,-2.0
Comb_E_M,dominant,influence_weighted,2,8.916666666666666
Comb_E_M,top30,state_based,2,-2.0
Comb_E_M,top30,influence_weighted,2,8.916666666666666
Comb_E_M,top60,state_based,2,-0.0038897151355678796
Comb_E_M,top60,influence_weighted,2,8.916666666666666
Comb_E_PS,dominant,state_based,2,-1.5294117647058822
Comb_E_PS,dominant,influence_weighted,2,8.01732026143791
Comb_E_PS,top30,state_based,2,-1.5294117647058822
Comb_E_PS,top30,influence_weighted,2,8.01732026143791
Comb_E_PS,top60,state_based,2,-0.004972285944080623
Comb_E_PS,top60,influence_weighted,2,5.590880070399998
Comb_E_PS_RS_AS_C_M,dominant,state_based,2,0.20156774916013437
Comb_E_PS_RS_AS_C_M,dominant,influence_weighted,2,2.817183028493219
Comb_E_PS_RS_AS_C_M,top30,state_based,2,0.03274863695764862
Comb_E_PS_RS_AS_C_M,top30,influence_weighted,2,5.639278420768679
Comb_E_PS_RS_AS_C_M,top60,state_based,2,-0.0070805084230004325
Comb_E_PS_RS_AS_C_M,top60,influence_weighted,2,5.280711958550405
Comb_E_RS,dominant,state_based,2,-1.3333333333333333
Comb_E_RS,dominant,influence_weighted,2,6.898148148148148
Comb_E_RS,top30,state_based,2,-1.333333333333333
Comb_E_RS,top30,influence_weighted,2,6.898148148148148
Comb_E_RS,top60,state_based,2,0.3607128971165543
Comb_E_RS,top60,influence_weighted,2,6.487634462546982
Comb_M_M,dominant,state_based,2,-2.0
Comb_M_M,dominant,influence_weighted,2,3.0
Comb_M_M,top30,state_based,2,-2.0
Comb_M_M,top30,influence_weighted,2,3.0
Comb_M_M,top60,state_based,2,-2.0
Comb_M_M,top60,influence_weighted,2,3.0
Comb_M_PS,dominant,state_based,2,-0.9090909090909091
Comb_M_PS,dominant,influence_weighted,2,7.818069584736251
Comb_M_PS,top30,state_based,2,0.25782145782145743
Comb_M_PS,top30,influence_weighted,2,8.29680286346953
Comb_M_PS,top60,state_based,2,0.05013634315262172
Comb_M_PS,top60,influence_weighted,2,7.9066727488102755
