l_max,network_name,modA,modB,T_network,T_C_intra,T_AS_intra,T_C→AS,T_AS→C,T_E_intra,T_E→AS,T_AS→E,T_M_intra,T_M→AS,T_AS→M,T_PS_intra,T_AS→PS,T_PS→AS,T_RS_intra,T_AS→RS,T_RS→AS,T_M→C,T_C→M,T_C→PS,T_PS→C,T_C→RS,T_RS→C,T_E→C,T_C→E,T_M→E,T_E→M,T_E→PS,T_PS→E,T_E→RS,T_RS→E,T_M→PS,T_PS→M,T_M→RS,T_RS→M,T_PS→RS,T_RS→PS
2,Comb_AS_C,C,AS,0.5530256352762457,0.5326206140350876,0.6781593406593406,0.0,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Comb_AS_E,E,AS,0.6711277648738827,,0.6781593406593406,,,0.6680856756851599,0.0,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Comb_AS_M,M,AS,0.6522037941801934,,0.6781593406593406,,,,,,0.3833333333333333,0.0,0.4166666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Comb_AS_PS,AS,PS,0.4757085903258792,,0.6781593406593406,,,,,,,,,0.30074644777265747,0.08333333333333333,0.05815602836879433,,,,,,,,,,,,,,,,,,,,,,,
2,Comb_AS_RS,AS,RS,0.6436011904761905,,0.6781593406593406,,,,,,,,,,,,0.6911458333333333,0.13157894736842105,0.05,,,,,,,,,,,,,,,,,,,,
2,Comb_C_M,M,C,0.5541627762215997,0.5291666666666667,,,,,,,0.3984375,,,,,,,,,0.07692307692307693,0.28,,,,,,,,,,,,,,,,,,
2,Comb_C_PS,C,PS,0.40304626937984495,0.5326206140350876,,,,,,,,,,0.30074644777265747,,,,,,,,0.22727272727272727,0.0,,,,,,,,,,,,,,,,
2,Comb_C_RS,C,RS,0.6020567981774878,0.5326206140350876,,,,,,,,,,,,,0.6911458333333333,,,,,,,0.047619047619047616,0.0,,,,,,,,,,,,,,
2,Comb_E_AS,E,AS,0.6711277648738827,,0.6781593406593406,,,0.6680856756851599,0.0,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Comb_E_C,E,C,0.6096755368814192,0.5326206140350876,,,,0.6680856756851599,,,,,,,,,,,,,,,,,,0.21428571428571427,0.1875,,,,,,,,,,,,
2,Comb_E_M,M,E,0.6347441707662241,,,,,0.6680856756851599,,,0.3833333333333333,,,,,,,,,,,,,,,,,0.07142857142857142,0.15,,,,,,,,,,
2,Comb_E_PS,E,PS,0.5014270878097694,,,,,0.6680856756851599,,,,,,0.30074644777265747,,,,,,,,,,,,,,,,0.0,0.25,,,,,,,,
2,Comb_E_RS,E,RS,0.4941800758765045,,,,,0.6680856756851599,,,,,,,,,0.6911458333333333,,,,,,,,,,,,,,,0.0,0.25,,,,,,
2,Comb_M_PS,M,PS,0.38906576382499025,,,,,,,,0.3833333333333333,,,0.30074644777265747,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,
2,Comb_M_RS,M,RS,0.6338541666666667,,,,,,,,0.3833333333333333,,,,,,0.6911458333333333,,,,,,,,,,,,,,,,,,,0.0,0.0,,
2,Comb_PS_RS,PS,RS,0.47458820488563436,,,,,,,,,,,0.29686779953917053,,,0.6911458333333333,,,,,,,,,,,,,,,,,,,,,0.140625,0.1744186046511628
