folder,pc1_var,n_pcs_90,n_states,n_genes
Comb_AS_C,0.3740916375887415,10,47,62
Comb_AS_E,0.3934491463433616,6,31,58
Comb_AS_M,0.4722606107238237,8,42,46
Comb_AS_PS,0.448578922790521,6,10,64
Comb_AS_RS,0.41332448809789346,5,13,48
Comb_C_AS_RS,0.32543119707500623,8,20,76
Comb_C_M,0.6857973728385872,8,56,40
Comb_C_PS,0.29264867701120584,8,15,58
Comb_C_RS,0.4611193992693033,7,30,42
Comb_E_AS,0.4731500503980821,5,20,58
Comb_E_C,0.4541255176789442,9,47,52
Comb_E_C_AS_RS,0.38000610022241865,4,5,100
Comb_E_M,0.6796925726500028,5,59,36
Comb_E_PS,0.39933005804762345,8,18,54
Comb_E_PS_RS_AS_C_M,0.339283322847725,4,5,142
Comb_E_RS,0.44011416254696833,3,11,38
Comb_M_PS,0.3317307347768306,8,19,42
Comb_M_RS,0.447196528631244,5,39,26
Comb_PS_RS,0.531203163555762,4,8,44
Single_AS,0.7579085206533277,5,76,34
Single_C,0.5048563503928203,10,42,28
Single_E,0.9090629468034339,1,92,24
Single_M,0.5568685427337734,5,41,12
Single_PS,0.42787858362920306,6,17,30
Single_RS,0.8396818483794228,2,67,14
