Source,ZEB1_H,ZEB1,YAP,WT1,Wee1,UbcH10,Twist,Stress_Fibers,SNAI2,SNAI1,SMAC,pRB,Plk1,pAPC,p27Kip1,p21,N_bcatenin_H,N_bcatenin,Myc,Mst1_2,miR_34,miR_200,MCL_1,LEF1,Lats1_2,IAPs,FoxM1,FocalAdhesions,Emi1,Ecadherin_mRNA_H,Ecadherin_mRNA,E2F1,Cyto_C,CyclinE,CyclinD1,CyclinB,CyclinA_mRNA,CyclinA,Cdk1,Cdh1,Cdc25C,Cdc25B,Cdc25A,Cdc20,Casp9,Casp8,Casp3,Casp2,BIM,BIK,BID,BCLXL,BCL2,BAX,BAK,BAD,b_catenin_TCF4,ApicalBasal_Pol,AMOT
ZEB1_H,0.8995050067626071,0.8997993403741038,0.7,0.6,-0.36462932707748597,0.2836431937115932,0.8999772649766966,0.5,0.8992463372474393,0.9998871371883681,0.22217194570135748,-0.481027815558578,0.4759969679839663,0.2986576098645064,-0.4754866627592313,-0.3925925925925926,0.8944166273626566,0.7,0.5861739463827529,-0.7,-0.9998871371883681,-0.9999263502083645,-0.43555555555555553,0.999904022105904,-0.6,-0.16923076923076924,0.5847595648159299,0.6,0.19173109888397405,-0.8999696578927405,-0.9998570658509376,0.5288260367461137,0.22217194570135748,0.47879948914431675,0.5903531629660662,0.41512282936271144,0.48346741070164007,0.2748492995723052,0.377357910906298,-0.32676254180602005,0.3826425613905629,0.49612188365650967,0.4734619366060988,-0.16669160815010936,0.17142857142857143,0,0.1,-0.3661477145348113,0.24836870578443615,0.24836870578443615,0.21151578964161222,-0.08268115942028985,-0.10132639290534026,0.2624018307588287,0.2624018307588287,0,0.8990341351606703,-0.8,-0.5
ZEB1,0.999567673260483,0.8998332838901867,0.7,0.6,-0.3674690611135877,0.2880417342180475,0.8999822726466938,0.5,0.8993401013142076,0.9999070167767359,0.22653061224489796,-0.4832461990356727,0.47838870618132895,0.30402646200583605,-0.47816567033720003,-0.39382716049382716,0.8949748754174844,0.7,0.5879234572422634,-0.7,-0.9999070167767359,-0.9999395131002122,-0.4411265432098765,0.999920944988743,-0.6,-0.17142857142857143,0.5866846260452514,0.6,0.2056069857232648,-0.8999763523499853,-0.9998816790695224,0.5351247982979832,0.22653061224489796,0.48114928209796687,0.59166235540293,0.42048200483127474,0.48536901165299956,0.2824709025795983,0.37942843784699903,-0.3319295139476704,0.3844449623242446,0.49675174013921114,0.4761759123213036,-0.17470985121220511,0.17333333333333334,0,0.1,-0.36898405991933936,0.25529794900221725,0.25529794900221725,0.21885825379992935,-0.08599021616437377,-0.10374550580407119,0.2685404969236459,0.2685404969236459,0,0.8991541513306389,-0.8,-0.5
YAP,-0.32638882599989916,-0.1700889015218626,0.7153809173264426,0.8235521235521235,-0.4926325390210652,0.3509045508915555,-0.28000597601288846,0.7857142857142857,-0.25643697013251254,-0.297881548006615,0.2683927127728164,-0.5946042771502442,0.6170084586717247,0.4201680366763382,-0.5836817231151483,-0.5798531257426708,-0.3949214565887832,0.2691025779570861,0.666601351125595,-0.524114411441144,0.297881548006615,-0.16478684244023667,-0.466235613956842,-0.11592345235118262,-0.5577777777777777,-0.26239028084827976,0.726615530244322,0.8235521235521235,0.02652311953524957,-0.44709921872892844,0.24655219220257168,0.4500908670514342,0.2683927127728164,0.5973824496511873,0.7178002431985618,0.4459650063552587,0.6320931832878043,0.2775041301860411,0.5469898818412379,-0.40237339705182595,0.5577128307288091,0.7037022886547799,0.592840467341892,-0.13138515632636003,0.28229192922772156,0.25708516661914116,0.2786756534270193,-0.4969564974524904,0.25013079273894223,0.25013079273894223,0.18785883534778122,-0.06845964553555513,-0.09612247960812732,0.27261148824903747,0.27261148824903747,0.26414466381584933,-0.3802304906634294,-0.4834679863676866,-0.5599999999999999
WT1,0.4421687022197721,0.5076698745990085,0.7,0.6,-0.40748671350272553,0.303834025318546,0.3667846607669617,0.5,0.4904996096799376,0.43259971468214414,0.24106104020144134,-0.5191432244306579,0.5227341517317765,0.3321391247548813,-0.5088551915892153,-0.45811641729862684,-0.05410221028506025,0.5636363636363637,0.5978797699152085,-0.6,-0.43259971468214414,-0.45527734044265317,-0.4205804389449249,0.44327944043114326,-0.5,-0.2121212121212121,0.6292580428030815,0.6,0.09118878296342689,-0.7694949494949495,-0.5238553986611839,0.43972411567959735,0.24106104020144134,0.5145576770166252,0.6271830821402936,0.4120811883436007,0.5274534445885377,0.2651170625351645,0.43476680806528833,-0.3478832479601369,0.4423932663081599,0.5676372476960478,0.5094121073885682,-0.14458666289929495,0.21923076923076926,0.1,0.17037037037037037,-0.4095194573654438,0.23554670392141913,0.23554670392141913,0.1894193900484016,-0.06949909301292059,-0.09383484596903754,0.2571535851885879,0.2571535851885879,0.1,0.35255044606261543,-0.6927272727272727,-0.4
Wee1,-0.03255412324910142,-0.038646100299007446,-0.01978021978021978,-0.014285714285714285,0.299638923349663,-0.031428376403139835,0.01465088784476446,0,-0.02281358992998143,-0.03863556082914048,-0.05958763955049888,0.12894733673779898,-0.4107799531575484,-0.31949467515668994,0.266551718740731,0.2605069496965808,-0.018374893693912542,0.058864810452790975,-0.15276651797824575,0.01978021978021978,0.03863556082914048,0.17852865045957328,0.17941550693201666,-0.05785328302567514,0.014285714285714285,0.059392476472230685,-0.32827014415328065,-0.014285714285714285,0.3176726207459489,0.02881399470448618,0.031107764364509304,-0.08171340954488762,-0.05958763955049888,-0.25819288531588913,-0.1782746863126027,-0.016579153953883662,-0.299951614119617,0.05721980860515933,-0.4632446794196743,0.14550290566423235,-0.36596886282587743,-0.327111758373595,-0.2928822907280131,-0.01096304674823276,-0.06557192549356641,-0.059863114181038526,-0.06566351944952889,0.31384883205852854,-0.058805559964012585,-0.058805559964012585,-0.012839985340654097,0.02438797267597115,0.03399474569064174,-0.05953034309007915,-0.05953034309007915,-0.061384987990904916,-0.023378101675432483,0.02566257272139625,0
UbcH10,0.4330888158433502,0.4052977312131623,0.34971988795518205,0.2833333333333333,0.4573467098923866,-0.07678625740077932,0.40726567903907807,0.2,0.40876553273502053,0.4587961043965695,0.14075525837589403,0.3426444944623945,-0.46159444336687205,-0.2435341546895166,0.3794826185198189,0.15998516893091727,0.3385895949906509,0.061062253752777,-0.07706034433023598,-0.3447811447811448,-0.4587961043965695,-0.35425411486911434,0.01697698938735654,0.43800045764815937,-0.28181818181818186,-0.14291858558911347,-0.44512335422552696,0.2833333333333333,0.2210439503210752,-0.4255842133150507,-0.447680834147271,0.15526990818112812,0.14075525837589403,-0.17116599920617595,-0.07920611360243655,-0.2493299736108102,-0.23100935914039758,-0.30647373256898336,-0.44965180588184134,0.35275658181633374,-0.44157111069211064,-0.43734451446671896,-0.3691867144975826,0.1304467451663172,0.15694532437857273,0.15933758978451715,0.1640051371204925,0.3169715990890392,0.11055962758574034,0.11055962758574034,0.14453384943150405,-0.1435372878897627,-0.15062376154519794,0.1394791733639484,0.1394791733639484,0.1658465233332056,0.3994346501759636,-0.39148547623123897,-0.2
Twist,0.8993042513179461,0.8997129353670127,0.7,0.6,-0.3627571351642434,0.2816987613198709,0.6999676008423781,0.5,0.998941071427582,0.7998386814630327,0.22103799814643188,-0.47853123550006327,0.47398149188865163,0.29654597738709887,-0.472507355344884,-0.39166666666666666,0.8924286388898596,0.7,0.5824600329976674,-0.7,-0.7998386814630327,-0.9998948458483387,-0.42767602586452036,0.8998627251263723,-0.6,-0.16923076923076924,0.5823029698245005,0.6,0.17893218630098592,-0.8999566489649939,-0.9997957343885959,0.5152276424531618,0.22103799814643188,0.47572463768115936,0.5879387505529102,0.40891350854192715,0.4807798383262007,0.2703598484848485,0.3762048698572628,-0.3238168102415835,0.38134666163711806,0.49548387096774194,0.4704697025996724,-0.16297545496574622,0.17142857142857143,0,0.1,-0.3640616246498599,0.24413897280966768,0.24413897280966768,0.2071446313249592,-0.08033741397596321,-0.09938325610533251,0.2591235378612995,0.2591235378612995,0,0.8986436852028538,-0.8,-0.5
Stress_Fibers,-0.3061066673257243,-0.1450889015218626,0.8235521235521235,0.7857142857142857,-0.4729642464532226,0.3403445761425937,-0.24361496373584424,0.7,-0.23499278458878098,-0.2680381320477544,0.26239028084827976,-0.5776698187061338,0.5950459360039835,0.3982893383763499,-0.566520755958215,-0.5509713772404785,-0.38400644242447723,0.30421994884910486,0.6493268974127655,-0.5577777777777777,0.2680381320477544,-0.17841221716221714,-0.45391111279820884,-0.0923458101154062,-0.5599999999999999,-0.2534381642625754,0.7037022886547799,0.7857142857142857,0.04013621198955823,-0.4834679863676866,0.2159207613046518,0.443572333967175,0.26239028084827976,0.5776241157255351,0.6956193634050073,0.4386624467827683,0.606489575491596,0.2750369269863167,0.5202610652227717,-0.39005144385818935,0.5302975300309478,0.6709728126139477,0.5733115814223737,-0.13509859165043053,0.2705340532311274,0.22181545707557268,0.25708516661914116,-0.4765788881341179,0.2458240126381323,0.2458240126381323,0.1874107190418944,-0.06828611172500382,-0.09519085131800846,0.2683927127728164,0.2683927127728164,0.22641379310344828,-0.3592438471958484,-0.524114411441144,-0.5
SNAI2,0.9994233623397243,0.9997838989236241,0.7,0.6,-0.368140350877193,0.28997164262203334,0.7999783830523131,0.5,0.9991190149306559,0.8998803228065496,0.22929663608562692,-0.48277369132122405,0.47843913032625246,0.3060410661542294,-0.47757112582131195,-0.3940476190476191,0.7933777256560026,0.7,0.5858679750223015,-0.7,-0.8998803228065496,-0.8999224748544735,-0.4378494376215093,0.8998982565505298,-0.6,-0.17333333333333334,0.5859132292954125,0.6,0.20340402862385046,-0.899971160778659,-0.9998471651928262,0.5261838405962929,0.22929663608562692,0.48020146520146517,0.590509367859863,0.4186301580878634,0.48436263579866223,0.2841863864139249,0.38011451331839685,-0.3331448841591841,0.384707194645845,0.4967136150234742,0.47552919242897607,-0.17775043474572677,0.175,0,0.1,-0.3693741450068399,0.2570887862458301,0.2570887862458301,0.22092221503986206,-0.08639180155417556,-0.1040026959537669,0.27067068188715365,0.27067068188715365,0,0.9988709749254646,-0.8,-0.5
SNAI1,0.8994456693628695,0.8997732858738109,0.7,0.6,-0.36375469849209485,0.28272141742978907,0.9999743573305981,0.5,0.8991559221876857,0.899872574516143,0.22161172161172163,-0.4799709896095439,0.4751138652207591,0.29768464770829284,-0.47422084623323013,-0.3921875,0.8938467559484655,0.7,0.584851081913801,-0.7,-0.8998725741039528,-0.9999168556056383,-0.4322886184033815,0.8998916040084849,-0.6,-0.16923076923076924,0.5838012409724341,0.6,0.18626647642342709,-0.8999657328878609,-0.9998385885551008,0.5238206832375025,0.22161172161172163,0.47752083333333334,0.5894670946470035,0.4124370705547176,0.48238372746391817,0.27279401040275764,0.376816706080404,-0.3254225773068284,0.3820585788713279,0.4958702064896755,0.47219245572386487,-0.16497619339929528,0.17142857142857143,0,0.1,-0.3651922064244339,0.2464085125054849,0.2464085125054849,0.2094896331738437,-0.08160108354719132,-0.10042328042328044,0.26086221470836857,0.26086221470836857,0,0.8989184617408992,-0.8,-0.5
