Source,ZEB1_H,ZEB1,Wee1,UbcH10,Twist,SNAI2,SNAI1,SMAC,Rac1,pRB,Plk1,pAPC,PAK1,p27Kip1,p21,N_bcatenin_H,Myc,miR_34,miR_200,Merlin,MCL_1,LEF1,IQGAP1_LeadingE,IAPs,Horizontal_Pol,FoxM1,Emi1,E2F1,Cyto_C,CyclinE,CyclinD1,CyclinB,CyclinA_mRNA,CyclinA,Cdk1,Cdh1,Cdc25C,Cdc25B,Cdc25A,Cdc20,Casp9,Casp8,Casp3,Casp2,BIM,BIK,BID,BCLXL,BCL2,BAX,BAK,BAD,b_catenin_TCF4
ZEB1_H,0.9,0.9,0,0,0.9,0.9,1,0,0.9,0,0,0,0.8,0,0,0.9,0,-1,-1,-0.7,0,1,0.8,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9
ZEB1,1,0.9,0,0,0.9,0.9,1,0,0.9,0,0,0,0.8,0,0,0.9,0,-1,-1,-0.7,0,1,0.8,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9
Wee1,-0.03280722174533599,-0.039042146678832115,0.299638923349663,-0.031428376403139835,0.014549290493709432,-0.024005778221532832,-0.03888251518927281,-0.05958763955049888,-0.10392719295166879,0.12894733673779898,-0.4107799531575484,-0.31949467515668994,-0.10326494129603965,0.266551718740731,0.2605069496965808,-0.018609176531813945,-0.15276437741041776,0.03877668050427588,0.17861250342036655,0.10303715086323781,0.17941550693201666,-0.05795090831099423,-0.10364823161142178,0.059392476472230685,-0.10336936936936936,-0.3282697969068596,0.3176726207459489,-0.08171252736956255,-0.05958763955049888,-0.25819288531588913,-0.17827338967699743,-0.016579153953883662,-0.299951614119617,0.05721980860515933,-0.4632446794196743,0.14550290566423235,-0.36596886282587743,-0.327111758373595,-0.2928822907280131,-0.01096304674823276,-0.06557192549356641,-0.059863114181038526,-0.06566351944952889,0.31384883205852854,-0.058805559964012585,-0.058805559964012585,-0.012839985340654097,0.02438797267597115,0.03399474569064174,-0.05953034309007915,-0.05953034309007915,-0.061384987990904916,-0.02366968092294671
UbcH10,0.4331370586631088,0.4054463080204009,0.4573480823038946,-0.07678678771562097,0.408541396172307,0.4089803506053446,0.4613746145718305,0.14075525837589403,0.3546798484079242,0.342660345851702,-0.4616002384458794,-0.2435353665519732,0.3296591282679482,0.3794946547397068,0.15999356194169187,0.3386449279426292,-0.07729725299577521,-0.45935317082844895,-0.3547524109945682,-0.2949924616012815,0.01699235044294799,0.43809263696717454,0.3326756834506832,-0.14291858558911347,0.29668301953504816,-0.44516652628134257,0.22103734841274214,0.1551642750567387,0.14075525837589403,-0.17118951716383463,-0.07939980332139042,-0.2493362506955264,-0.23104143157281806,-0.3064757803197648,-0.44965281361028425,0.3527589058597183,-0.4415739721354897,-0.4373725935886748,-0.36919849222071477,0.13044770749888848,0.15694532437857273,0.15933758978451715,0.1640051371204925,0.3169734516733201,0.11055840726659534,0.11055840726659534,0.14453279207186426,-0.14353667296180722,-0.1506232280918539,0.1394784088690078,0.1394784088690078,0.1658465233332056,0.39979981301939566
Twist,0.9,0.9,0,0,0.7,1,0.8,0,0.9,0,0,0,0.8,0,0,0.9,0,-0.8,-1,-0.7,0,0.9,0.8,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9
SNAI2,1,1,0,0,0.8,1,0.9,0,0.8,0,0,0,0.7,0,0,0.8,0,-0.9,-0.9,-0.6,0,0.9,0.7,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SNAI1,0.9,0.9,0,0,1,0.9,0.9,0,0.9,0,0,0,0.8,0,0,0.9,0,-0.9,-1,-0.7,0,0.9,0.8,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9
SMAC,-0.10034063439415057,-0.1446556057739615,-0.5065001498116971,0.08289249691147708,-0.6035944275314667,-0.3018575730632772,-0.2303537492755822,0.49400067729376496,-0.48830919037679427,-0.4058859787705459,0.31133847764022565,0.2168177355449452,-0.4524940427516338,-0.3857314327044395,-0.4062150925802802,-0.0014802537894877954,0.3564128964201202,0.11406428538146722,0.08194467130415223,0.41513555218559606,-0.5073699709633029,-0.08562610805118356,-0.467302171136667,-0.5493022337139984,-0.4291458117434348,0.088586096581574,0.13898271723383804,0.26500543667256965,0.49400067729376496,0.026161165330967396,0.3800372925853869,-0.0020583320657238265,0.3208403224436868,0.15530517176329103,0.4324800057944837,-0.19502565631570606,0.26792111119041184,0.06515958140481727,0.18869448083573612,-0.13144863113926827,0.8644144312535079,0.7976401179941003,0.8894433966826248,0.28186292558555215,0.4876020458240811,0.4876020458240811,0.4755271035639613,-0.4775961700401292,-0.5161802703966751,0.5208953217653918,0.5208953217653918,0.7981308411214953,-0.12966866427222884
Rac1,0.7,0.7,0,0,0.8,0.7,0.8,0,0.8,0,0,0,0.8,0,0,0.7,0,-0.7,-0.8,-0.7,0,0.7,0.9,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7
pRB,0.4209039478569038,0.3190297731051827,0.4737133469690146,-0.3028628743153033,0.3676427114029962,0.4850754273131737,0.4039878123385531,-0.1956477721976609,0.0515814126104686,0.5397556389673503,-0.5925308474123742,-0.3014061784047765,0.02362452873001784,0.54260595377045,0.6050180881002905,0.4725683475603061,-0.5651702049267493,-0.40802523524313833,0.025276610754126627,0.010359944097430195,0.41392719071046286,0.22683446193492793,0.01791015485620494,0.19118467110613557,-0.016049382716049394,-0.5922851792349074,-0.11557682167946126,-0.29809922633976094,-0.1956477721976609,-0.6206268744278522,-0.6208579699750534,-0.3345242228451039,-0.6626116923357057,-0.3495049171412832,-0.4378531079881777,0.48450517513599206,-0.542817043509994,-0.5737049887531889,-0.6473973803549946,0.17706129981421265,-0.2063953032080806,-0.19933333333333333,-0.20763461140753608,0.3918013522507639,-0.1738276100654459,-0.1738276100654459,-0.12887694315359463,-0.015763656789670354,9.692071562993863e-4,-0.19887717576306332,-0.19887717576306332,-0.20804661289944965,0.49589881664040136
