Source,ZEB1_H,ZEB1,YAP,WT1,Wee1,UbcH10,Twist,TRIO,TAZ,Stress_Fibers,SNAI2,SNAI1,Rac1,pRB,Plk1,pAPC,PAK1,p27Kip1,p21,N_bcatenin_H,N_bcatenin,Myc,Mst1_2,miR_34,miR_200,Merlin,LEF1,Lats1_2,IQGAP1_LeadingE,Horizontal_Pol,FoxM1,FocalAdhesions,Emi1,Ecadherin_mRNA_H,Ecadherin_mRNA,E2F1,CyclinE,CyclinD1,CyclinB,CyclinA_mRNA,CyclinA,Cdk1,Cdh1,Cdc25C,Cdc25B,Cdc25A,Cdc20,b_catenin_TCF4,ApicalBasal_Pol,AMOT
ZEB1_H,0.8981189039442758,0.8993360047652734,0.7,0.6,-0.3722268709558535,0.2950577887025255,0.8999367788841474,0.6,0.7,0.7,0.897153169957849,0.9996573213511567,0.8999641352102573,-0.4870373501445215,0.48239998151472535,0.31166541045252544,0.8,-0.48283586212819934,-0.3955156950672646,0.8775864321144548,0.7,0.5915691147461424,-0.7,-0.9996363307964676,-0.9997642289214118,-0.7,0.9996856993097054,-0.6,0.8,0.7,0.5901507812144422,0.8,0.23051543583092943,-0.899927122555569,-0.9995338505830377,0.548999644635493,0.4853914149823904,0.5941399131655469,0.4313157238604588,0.48882166042842945,0.2943587020736088,0.3826795947197874,-0.3396454761803226,0.38726968174204357,0.497733405288721,0.4809978780141974,-0.18737994217355505,0.8964110838574093,-0.8,-0.6
ZEB1,0.9983748737771272,0.8994517684294049,0.7,0.6,-0.3744735789295304,0.2987822006572208,0.8999505989872792,0.6,0.7,0.7,0.8975355195678054,0.9997188827063654,0.8999719173433807,-0.48856553198285074,0.4841611107308024,0.315642729414089,0.8,-0.48475977724409436,-0.3962406015037594,0.879920935548993,0.7,0.5926957760696052,-0.7,-0.9997017200858018,-0.9998070714584302,-0.7,0.9997422811425901,-0.6,0.8,0.7,0.591427503081543,0.8,0.24184303395808637,-0.8999429576460521,-0.9996162290948953,0.5537712357132943,0.4870672144069852,0.5949521535064748,0.43608681043490993,0.49014675738505026,0.3001634435344293,0.38423207172607077,-0.3433721175313017,0.3885870566486033,0.49810640216411184,0.4829955109804259,-0.1942901242206211,0.8968920818671329,-0.8,-0.6
YAP,-0.2948077283399948,-0.11427716745567643,0.8640142364157454,0.8877947242206234,-0.4937276282437817,0.3519106660393721,0.0388802058565849,0.8877947242206234,0.7673279100480344,0.7603314610894497,-0.20066690833580353,0.02647671994291837,0.6629182135512739,-0.5990454484209607,0.619211450154572,0.42108413491115104,0.6490077915013169,-0.5872584966240304,-0.5843363796309993,-0.38386139560110505,0.7472337585190145,0.684456610810133,-0.7472337585190145,0.10571336384047228,-0.21487708876620867,-0.6192425332853545,-0.07037631140674425,-0.6743353879769628,0.8183466514407878,0.8622852549039817,0.731181551918104,0.814488617920229,0.029530509022596955,-0.6747995747123214,0.12343371475043437,0.4661815701190138,0.6060671679938707,0.7321679597613483,0.44850752237532276,0.6374373351277083,0.27946572954924087,0.5480923215807109,-0.40437540133473143,0.5593713936420476,0.7072914976628519,0.5963396320971137,-0.13224992976842623,-0.324458081650055,-0.7965196994901349,-0.579260113183819
WT1,0.4587672320322181,0.5218514557338086,0.7,0.6,-0.4109531043154192,0.30666613651688274,0.37679725085910654,0.6,0.7,0.6,0.5246365886304518,0.45026075886343797,0.6920905850283078,-0.5274903142488162,0.5272179370511653,0.3347547497131985,0.5984063745019921,-0.5168293762407264,-0.4625180598555212,0.06652573061499424,0.7,0.6239486634189767,-0.7,-0.44404450843420606,-0.4621729446634629,-0.5,0.45065584522052793,-0.6,0.6993939393939395,0.8,0.6370223090393978,0.6993388429752067,0.10839749303697883,-0.7850808665174613,-0.536760217281689,0.4832942831854436,0.524888838628781,0.6448356520053091,0.4208269461630806,0.53658587312256,0.2720224206448422,0.4371935987509758,-0.353254020751935,0.4454666910783878,0.5715128922025474,0.5165495130971391,-0.14889195171333067,0.3931226239343857,-0.7987804878048781,-0.5
Wee1,-0.03290815247132353,-0.03947613074454583,-0.14602414255604523,-0.12941176470588237,0.2991739497729251,-0.03142673676649762,-0.03544000112119383,-0.12941176470588237,-0.04038461538461539,-0.15084745762711865,-0.025032764753374577,-0.03936134163920351,-0.16155366553456757,0.1280906235684796,-0.4107263306189175,-0.31947945696550023,-0.15487496517355676,0.2660040869099023,0.25829064415264336,-0.01846679888888568,-0.02181259600614439,-0.15240188696835186,0.02181259600614439,0.038877394090294747,0.18033593171961138,0.14460163812360388,-0.05822439198438617,0.12258064516129033,-0.1632673831623514,-0.143948275862069,-0.32830415753975706,-0.1627092015391375,0.31786140674467234,0.030993069625182907,0.033864875542810854,-0.08154797191754207,-0.25962708492319064,-0.1778122670324831,-0.016580717397697307,-0.29981806555382684,0.05724696263324823,-0.46312519215167863,0.14546927581862462,-0.36594327837299845,-0.3271461317991063,-0.2928652429182427,-0.010989308946384217,-0.023724480582581375,0.03023209379048708,0.13333333333333333
UbcH10,0.43323090806674447,0.4056413404665614,0.32978302698168943,0.2642988467324085,0.4577457327613277,-0.07678572709140544,0.4347318230680906,0.2642988467324085,0.35226270805218174,0.3119776469131873,0.4098297850868275,0.4615973941561576,0.3802381780084741,0.34321894834447353,-0.46161864313945766,-0.24354021427002254,0.346144811915108,0.3798835727031208,0.16460685226224975,0.33866309217143614,0.3507924528301887,-0.07686767603181209,-0.3507924528301887,-0.4593886570219016,-0.3552117926099462,-0.30178683526141153,0.4381467305266901,-0.25957251908396944,0.36337108339351437,0.32309800189765375,-0.4450376901216865,0.36204877066852154,0.22097805929987424,-0.42857119859428927,-0.4490476961838502,0.15535709256765728,-0.17080500725282893,-0.07918211881366845,-0.24931811736781,-0.23106952694392774,-0.30647902338725397,-0.4497344957835857,0.35276493047327245,-0.4415796954674872,-0.43729241651614636,-0.3691870832186709,0.13045444436132017,0.3999143115234577,-0.40414050286698044,-0.25358490566037734
Twist,0.8983412344966755,0.8993927686963202,0.7,0.6,-0.3707815840113572,0.2924078220629945,0.6999394673123487,0.6,0.7,0.7,0.9974905728566178,0.7996845956158254,0.8999653033785835,-0.48650040347531565,0.4815791408156665,0.30894788401253914,0.8,-0.48218834368688235,-0.39507389162561574,0.8803705351979847,0.7,0.5917937264080967,-0.7,-0.7996655955638758,-0.9997829597811808,-0.7,0.8997110132879012,-0.6,0.8,0.7,0.5899569653816993,0.8,0.22659612179212005,-0.8999295278365047,-0.9995729643145322,0.5507766376637664,0.4849857427519625,0.5941924773368,0.43008916674312025,0.48863260582010576,0.2907941076202706,0.38159135268402367,-0.3373340368905143,0.3865363562624435,0.4975924333619949,0.4803717841596873,-0.18292929379251857,0.8968365048816397,-0.8,-0.6
TRIO,0.4885570124797832,0.5446400689488845,0.8,0.7,-0.4310650318333412,0.3289488976513182,0.6872677808006218,0.7,0.7,0.8,0.46468204495097387,0.6683436290615042,0.8965626189296512,-0.5513242015514382,0.5466962017069563,0.3574796231641173,0.7994535519125683,-0.5415131957795849,-0.47694486595852303,0.14898488560626647,0.6,0.6521345623430259,-0.6,-0.5627298281666374,-0.6751248278349127,-0.7,0.5662582700318549,-0.6,0.8998012916045702,0.8,0.6567571594626009,0.8997883597883598,0.17379908727825916,-0.6933213377888213,-0.6566965919999437,0.5394257331560122,0.5485687975824547,0.6665167082533394,0.45382570392112004,0.5570630165422373,0.3104429137393547,0.45240142149695173,-0.38213213056338713,0.46003827746638565,0.58264806855351,0.5399449603147148,-0.1810887884700201,0.43649686694799483,-0.6995930824008139,-0.7
TAZ,0.4811239368914089,0.5410925806900233,0.8,0.7,-0.42917377574389803,0.32588611299800696,0.5857162823200559,0.7,0.7,0.7,0.5589258964227816,0.566145884190997,0.796436343185112,-0.5505154864717527,0.5452590199060732,0.3542926163455227,0.6993957703927492,-0.5405621057609482,-0.47636739659367394,0.13930883186676102,0.7,0.6526144353409455,-0.7,-0.5594344822751017,-0.572945480760566,-0.6,0.4631132598874534,-0.7,0.8997871208089409,0.9,0.655913926814969,0.7997707736389684,0.16986168762905382,-0.6930490025019187,-0.5534033769942268,0.5419167032424002,0.5482131472488593,0.6667467007738141,0.4522066626428042,0.5567503107345291,0.3068144253044772,0.45081164070654545,-0.37949974110623785,0.4588456046193367,0.5819221791775404,0.5388924658213237,-0.1764670837920008,0.4304871393175175,-0.7995698924731183,-0.6
Stress_Fibers,-0.234371230814501,-0.036676674230713024,0.8913021005499294,0.7985046728971963,-0.47504086948555563,0.3419829981804063,0.12252431811671174,0.7985046728971963,0.7920864613933921,0.6903954272863568,-0.10618546096509611,0.10157838552336877,0.6797883392951551,-0.584803819130689,0.5984655641892246,0.39975650912001015,0.6380719794299748,-0.5724308798931724,-0.556666333690403,-0.35258212394359456,0.6850595644586084,0.6745911968267044,-0.6850595644586084,0.017099802508010166,-0.25216933814884007,-0.5764417607421021,-0.014407964655005313,-0.5962962962962963,0.7725130373358738,0.8907821852171864,0.7103077126498153,0.7708705892733978,0.04668404143322765,-0.7224133712021783,0.02852569258498187,0.4710186174920918,0.588558564266844,0.7155260099057644,0.4431090189472141,0.6145193079617361,0.2785529101960275,0.5220279932392776,-0.3933948417045002,0.5328121241961071,0.6757194117364778,0.578737004831011,-0.1368116752535799,-0.2622163876602005,-0.7615986659561126,-0.49724137931034484
