Source,YAP,WT1,Wee1,UbcH10,TRIO,TAZ,Stress_Fibers,SMAC,Rac1,PTEN_c,Plk1,pAPC,PAK1,N_bcatenin,Mst1_2,miR_29c,Merlin,MCL_1,Lats1_2,IQGAP1_LeadingE,IAPs,Horizontal_Pol,FoxM1,FocalAdhesions,Fast_Migration,Emi1,Ecadherin_mRNA_H,DR4_5,Cyto_C,CyclinB,CyclinA_mRNA,CyclinA,Cdk1,Cdh1,Cdc25C,Cdc25B,Cdc25A,Cdc20,Casp9,Casp8,Casp3,Casp2,BIM,BIK,BID,BCLXL,BCL2,BAX,BAK,BAD,ApicalBasal_Pol,AMOT
YAP,0.8991195891415995,0.9,-0.37416592806145166,0.2587915512710359,0.9,0.8,0.7980784627702162,0.06936505445083166,0.8520818927522275,-0.8,0.4933147503597574,0.38235788435572654,0.7792606224420354,0.6630430169199886,-0.8,0.9,-0.6942168674698795,-0.26242916417764084,-0.7,0.8927406566991971,-0.06580963980342916,0.8987247608926674,0.5117715521688976,0.892143412378279,0.89862148190695,-0.4411031073665853,-1,0,0.06936505445083166,0.31793416785350725,0.5049064159630468,0.08508877739095741,0.4489862853115243,-0.23753290231855329,0.4525618507863137,0.5049064159630468,0.46609397492869176,-0.0380468008727738,0.069253061529423815,0.05143399810066477,0.06277902734043085,-0.40254074521671523,0.07295074234977462,0.07295074234977462,0.010704414753172919,-0.025929127809882248,-0.034589524716158074,0.07117608378261804,0.07117608378261804,0.051966212294081146,-0.9,-0.6
WT1,0.7,0.6,-0.35579740810931815,0.25631496142239557,0.6,0.7,0.6,0.05040575243965075,0.7,-0.5,0.4712000657335754,0.34025672033219206,0.6,0.7,-0.7,0.6,-0.5,-0.2528942252715838,-0.6,0.7,-0.035151515151515156,0.8,0.49218822019312114,0.7,0.7,-0.40233901674496186,-0.8,0,0.05040575243965075,0.3441426204561069,0.4456722126601645,0.11046640725047793,0.4042238078663418,-0.24003053267133367,0.41016076166692683,0.4456722126601645,0.45296043160194105,-0.06539104701769119,0.035789473684210524,0,0.02,-0.37766666666666665,0.06311865163522715,0.06311865163522715,0.009560692511420395,-0.025544759825687408,-0.03173367137510563,0.0605088452231559,0.0605088452231559,0,-0.8,-0.5
Wee1,0.03683168316831683,0.02,0.29106429217501983,-0.025202838111782394,0.02,0.02,0.036049382716049384,-0.05747714277085123,0.06021901738166545,0,-0.39916338019080083,-0.31540565988187563,0.05019036408653651,0.05958014071667089,0,0.02,-0.03549295774647887,0.16686375502726186,-0.02,0.051227954144620814,0.05779131073247544,0.036049382716049384,-0.3127875436297188,0.05111787586673431,0.036483516483516484,0.34735146918504245,-0.02,0,-0.05747714277085123,-0.007900998370590441,-0.31362140105267755,0.07027539814674184,-0.45691409307413433,0.13228719319721288,-0.3577057179086373,-0.31362140105267755,-0.2739755460154765,-0.015750003698469583,-0.06428450906137237,-0.05958014071667089,-0.0649662536303633,0.3079078426467498,-0.05593573844290166,-0.05593573844290166,-0.010684163673407144,0.023886168910387955,0.033246016285471185,-0.05698941399960213,-0.05698941399960213,-0.061156076839665355,-0.02,-0.02
UbcH10,-0.1,0,0.47686475619910207,-0.08519190885893034,0,0,-0.1,0.11285487590149437,-0.13959183673469389,0,-0.49806716963340386,-0.26634335963200617,-0.13142857142857142,-0.1389628180039139,0,0,0.1,0.24223416942056866,0,-0.13513513513513514,-0.11632178270023368,-0.1,-0.5022623376489712,-0.13513513513513514,-0.1,0.4577566753877778,0,0,0.11285487590149437,-0.24927721833273114,-0.4953928592177436,-0.293311228866235,-0.46697312961128956,0.3760193805819981,-0.46667494565845924,-0.4953928592177436,-0.4708037650528548,0.1176237467654323,0.12816099640181647,0.1389628180039139,0.13780159737199385,0.3288051524341508,0.08521927760554059,0.08521927760554059,0.12895074475107843,-0.12792816370462856,-0.1311036597635054,0.11108781393652145,0.11108781393652145,0.1452268782544012,0,0
TRIO,0.8,0.7,-0.38899378452644146,0.2929267082209555,0.7,0.7,0.8,0.052281284606866006,0.9,-0.6,0.5062229119481028,0.3727736927198323,0.8,0.6,-0.6,0.7,-0.7,-0.3031186452354336,-0.6,0.9,-0.03666666666666667,0.8,0.626162916604284,0.9,0.8,-0.42975481784419706,-0.7,0,0.052281284606866006,0.39418405734980533,0.5676184071825816,0.16178903185661744,0.43131957142602834,-0.2887207007238678,0.436842473831638,0.5676184071825816,0.49254804910900346,-0.09504046449136011,0.0369811320754717,0,0.02,-0.407977632465711,0.06835663507109005,0.06835663507109005,0.007966256353353128,-0.022934945043831152,-0.027906463267754582,0.06461817665906056,0.06461817665906056,0,-0.7,-0.7
TAZ,0.8,0.7,-0.38752941857653256,0.2892379907296022,0.7,0.7,0.7,0.05195071155848664,0.8,-0.6,0.5051833074053746,0.3698280065974498,0.7,0.7,-0.7,0.7,-0.6,-0.2983633398898064,-0.7,0.9,-0.036279069767441864,0.9,0.6267048005722451,0.8,0.8,-0.4284979074601199,-0.7,0,0.05195071155848664,0.39487863282196245,0.5674364220988015,0.15610718351323455,0.4296265586526581,-0.28448078720381437,0.4359172195682023,0.5674364220988015,0.4916974185635743,-0.09060888077618506,0.03666666666666667,0,0.02,-0.4067684907546226,0.06776124834562028,0.06776124834562028,0.008168024515614844,-0.023540464934845788,-0.028612661138236583,0.06405012293847356,0.06405012293847356,0,-0.8,-0.6
Stress_Fibers,0.9,0.8,-0.37214359349258086,0.25896217296829793,0.8,0.8,0.7,0.06596678583610034,0.7850902875123469,-0.7,0.4913094626579964,0.37495206330014796,0.6958762886597938,0.6465810101651003,-0.7,0.8,-0.6,-0.261756924017872,-0.6,0.798750650702759,-0.05968287986865006,0.9,0.512143850443889,0.7986516853932584,0.9,-0.4358767023683545,-0.9,0,0.06596678583610034,0.32435054918484857,0.4974692942308713,0.08982791153869703,0.4421766800226045,-0.23909301644940412,0.44684128466885076,0.4974692942308713,0.4660427423268098,-0.043373355915584735,0.06184551087481236,0.036049382716049384,0.05143399810066477,-0.4000315208637112,0.07166330095699504,0.07166330095699504,0.010749917433438517,-0.026215094739968674,-0.03448874597779315,0.0696675062907475,0.0696675062907475,0.036483516483516484,-0.8,-0.5
SMAC,-0.6,-0.5,-0.5872189703308155,0.028439936088713803,-0.5,-0.5,-0.6,0.5334842637149092,-0.7987012987012987,0.4,0.4505608365892132,0.3578710799297823,-0.7,-0.7979247730220493,0.4,-0.5,0.6,-0.5941620447527395,0.5,-0.7,-0.5653991573319305,-0.6,0.29165091976946084,-0.7,-0.6,-0.39537630855516176,0.5,0,0.5334842637149092,0.025298722167107317,0.28239936051790154,-0.07993705381891784,0.5187069530854963,-0.18504409912869926,0.3996969645823252,0.28239936051790154,0.310339354253945,-0.02438386700098223,0.8757179869466398,0.7976261127596439,0.8911690184520824,0.35407677885983746,0.5628469314417599,0.5628469314417599,0.5495789184601063,-0.5770389041424018,-0.6123960957487868,0.5867121191254647,0.5867121191254647,0.7981220657276995,0.5,0.5
Rac1,0.9,0.8,-0.41986092852007706,0.30794315558937657,0.8,0.8,0.9,0.06461817665906056,0.8993702440304382,-0.7,0.5416574284719706,0.4098991454692561,0.9,0.697080291970803,-0.7,0.8,-0.8,-0.32443350982092045,-0.7,1,-0.052281284606866006,0.9,0.6675316316880828,1,0.9,-0.47240026241060756,-0.8,0,0.06461817665906056,0.4059398555485779,0.626162916604284,0.15843161579201906,0.4755312005512248,-0.30437949880531234,0.4823130103311982,0.626162916604284,0.5242235075365342,-0.08578091410620055,0.05285856940137699,0.02,0.03711711711711711,-0.44374152135459993,0.07762492775401687,0.07762492775401687,0.009448906195624421,-0.02507886748976702,-0.031412707263912126,0.07372140683751097,0.07372140683751097,0.02,-0.8,-0.8
PTEN_c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
