Source,YAP,WT1,Wee1,UbcH10,Stress_Fibers,SMAC,pRB,Plk1,pAPC,p27Kip1,p21,Myc,Mst1_2,MCL_1,Lats1_2,IAPs,FoxM1,FocalAdhesions,Emi1,Ecadherin_mRNA_H,E2F1,Cyto_C,CyclinE,CyclinD1,CyclinB,CyclinA_mRNA,CyclinA,Cdk1,Cdh1,Cdc25C,Cdc25B,Cdc25A,Cdc20,Casp9,Casp8,Casp3,Casp2,BIM,BIK,BID,BCLXL,BCL2,BAX,BAK,BAD,ApicalBasal_Pol,AMOT
YAP,0.9,0.9,-0.4926325390210652,0.3509045508915555,0.8,0.2683927127728164,-0.5946049744359555,0.6170087518737842,0.4201680366763382,-0.5836822544849444,-0.5798531257426708,0.6666380601715594,-0.8,-0.46623633207690907,-0.7,-0.26239028084827976,0.7266223183879658,0.9,0.026523302769128954,-1,0.4501035293118517,0.2683927127728164,0.5973835817742816,0.7178275294638639,0.445965302206034,0.6320951424973359,0.2775041301860411,0.5469898818412379,-0.40237339705182595,0.5577128307288091,0.7037043240495907,0.592841086957775,-0.13138515632636003,0.28229192922772156,0.25708516661914116,0.2786756534270193,-0.4969564974524904,0.25013079273894223,0.25013079273894223,0.18785883534778122,-0.06845964553555513,-0.09612247960812732,0.27261148824903747,0.27261148824903747,0.26414466381584933,-0.9,-0.6
WT1,0.7,0.6,-0.40748671350272553,0.303834025318546,0.5,0.24106104020144134,-0.5191195534075156,0.5227245193348147,0.3321391247548813,-0.508834515836704,-0.45811641729862684,0.597344841759145,-0.6,-0.42053327035341426,-0.5,-0.2121212121212121,0.6291684525989302,0.6,0.09113930947812293,-0.8,0.4392034567852587,0.24106104020144134,0.5145233842420625,0.62689831503589,0.4120577765615705,0.5274060405694588,0.2651170625351645,0.43476680806528833,-0.3478832479601369,0.4423932663081599,0.5676064311594202,0.5093897711652837,-0.14458666289929495,0.21923076923076926,0.1,0.17037037037037037,-0.4095194573654438,0.23554670392141913,0.23554670392141913,0.1894193900484016,-0.06949909301292059,-0.09383484596903754,0.2571535851885879,0.2571535851885879,0.1,-0.7,-0.4
Wee1,0,0,0.299638923349663,-0.031428376403139835,0,-0.05958763955049888,0.12894733673779898,-0.4107799531575484,-0.31949467515668994,0.266551718740731,0.2605069496965808,-0.15276437741041776,0,0.17941550693201666,0,0.059392476472230685,-0.3282697969068596,0,0.3176726207459489,0,-0.08171252736956255,-0.05958763955049888,-0.25819288531588913,-0.17827338967699743,-0.016579153953883662,-0.299951614119617,0.05721980860515933,-0.4632446794196743,0.14550290566423235,-0.36596886282587743,-0.327111758373595,-0.2928822907280131,-0.01096304674823276,-0.06557192549356641,-0.059863114181038526,-0.06566351944952889,0.31384883205852854,-0.058805559964012585,-0.058805559964012585,-0.012839985340654097,0.02438797267597115,0.03399474569064174,-0.05953034309007915,-0.05953034309007915,-0.061384987990904916,0,0
UbcH10,0,0,0.4573480823038946,-0.07678678771562097,0,0.14075525837589403,0.342660345851702,-0.4616002384458794,-0.2435353665519732,0.3794946547397068,0.15999356194169187,-0.07729725299577521,0,0.01699235044294799,0,-0.14291858558911347,-0.44516652628134257,0,0.22103734841274214,0,0.1551642750567387,0.14075525837589403,-0.17118951716383463,-0.07939980332139042,-0.2493362506955264,-0.23104143157281806,-0.3064757803197648,-0.44965281361028425,0.3527589058597183,-0.4415739721354897,-0.4373725935886748,-0.36919849222071477,0.13044770749888848,0.15694532437857273,0.15933758978451715,0.1640051371204925,0.3169734516733201,0.11055840726659534,0.11055840726659534,0.14453279207186426,-0.14353667296180722,-0.1506232280918539,0.1394784088690078,0.1394784088690078,0.1658465233332056,0,0
Stress_Fibers,0.9,0.8,-0.4729642464532226,0.3403445761425937,0.7,0.26239028084827976,-0.5776698187061338,0.5950459360039835,0.3982893383763499,-0.566520755958215,-0.5509713772404785,0.6493373050371262,-0.7,-0.45391111279820884,-0.6,-0.2534381642625754,0.7037043240495907,0.8,0.04013621198955823,-0.9,0.44357545174391333,0.26239028084827976,0.5776241157255351,0.6956264849207014,0.4386624467827683,0.606489575491596,0.2750369269863167,0.5202610652227717,-0.39005144385818935,0.5302975300309478,0.6709728126139477,0.5733115814223737,-0.13509859165043053,0.2705340532311274,0.22181545707557268,0.25708516661914116,-0.4765788881341179,0.2458240126381323,0.2458240126381323,0.1874107190418944,-0.06828611172500382,-0.09519085131800846,0.2683927127728164,0.2683927127728164,0.22641379310344828,-0.8,-0.5
SMAC,0,0,-0.5065001498116971,0.08289249691147708,0,0.49400067729376496,-0.4058859787705459,0.31133847764022565,0.2168177355449452,-0.3857314327044395,-0.4062150925802802,0.3564128964201202,0,-0.5073699709633029,0,-0.5493022337139984,0.088586096581574,0,0.13898271723383804,0,0.26500543667256965,0.49400067729376496,0.026161165330967396,0.3800372925853869,-0.0020583320657238265,0.3208403224436868,0.15530517176329103,0.4324800057944837,-0.19502565631570606,0.26792111119041184,0.06515958140481727,0.18869448083573612,-0.13144863113926827,0.8644144312535079,0.7976401179941003,0.8894433966826248,0.28186292558555215,0.4876020458240811,0.4876020458240811,0.4755271035639613,-0.4775961700401292,-0.5161802703966751,0.5208953217653918,0.5208953217653918,0.7981308411214953,0,0
pRB,0,0,0.4737133469690146,-0.3028628743153033,0,-0.1956477721976609,0.5397556389673503,-0.5925308474123742,-0.3014061784047765,0.54260595377045,0.6050180881002905,-0.5651702049267493,0,0.41392719071046286,0,0.19118467110613557,-0.5922851792349074,0,-0.11557682167946126,0,-0.29809922633976094,-0.1956477721976609,-0.6206268744278522,-0.6208579699750534,-0.3345242228451039,-0.6626116923357057,-0.3495049171412832,-0.4378531079881777,0.48450517513599206,-0.542817043509994,-0.5737049887531889,-0.6473973803549946,0.17706129981421265,-0.2063953032080806,-0.19933333333333333,-0.20763461140753608,0.3918013522507639,-0.1738276100654459,-0.1738276100654459,-0.12887694315359463,-0.015763656789670354,9.692071562993863e-4,-0.19887717576306332,-0.19887717576306332,-0.20804661289944965,0,0
Plk1,0,0,-0.06369616020058683,-0.06089581762112732,0,-0.2760685178393009,0.1665855838339497,0.05753324052310377,0.2787304844715308,0.06861042946834714,0.06619194776851162,-0.015587853986114753,0,-0.0133269754565457,0,0.27222955838219287,0.08611837932912898,0,-0.12954465044740182,0,0.1378071672456059,-0.2760685178393009,-0.027608218319873406,-0.01722278339076245,-0.12710582051967792,0.09296574284779775,-0.17474431725352255,0.12230714278477886,0.14656227550934303,0.12041813147891485,0.08938447341154959,0.0464836274056559,0.15156623883361695,-0.3144188230410092,-0.31562626532717064,-0.326872300669264,0.0059706861249136664,-0.25524003957665065,-0.25524003957665065,-0.2506721749094592,0.25016688763405714,0.2863575097616631,-0.2786030638740863,-0.2786030638740863,-0.3301211407923154,0,0
pAPC,0,0,0.4255673517826228,-0.18173574091025355,0,-0.23115061949401414,0.3366707132285761,-0.4391001803662964,-0.0979874220992526,0.37581160840506556,0.22368755688228217,-0.09977954189636146,0,0.26506211576976124,0,0.22723673709328293,-0.4377249016033491,0,0.37874973898573516,0,0.13499224543248955,-0.23115061949401414,-0.22087913554961275,-0.1042315008290545,-0.39177806643391433,-0.28000602966490806,-0.25152673167332146,-0.5081445010219222,0.3086179618870265,-0.5059470745807892,-0.4313181268778483,-0.3836198551840984,0.21539022011927825,-0.24551992188923735,-0.22713341774799095,-0.2440538286899392,0.4656039170309646,-0.21486439031947535,-0.21486439031947535,-0.10167804863694711,0.19439148655766234,0.21393069498756073,-0.23333589246683517,-0.23333589246683517,-0.23473184952880938,0,0
p27Kip1,0,0,0.4454846215166105,-0.2962952228112893,0,-0.15687691116486083,0.7180811232187276,-0.5634846360396616,-0.3379151708159309,0.6191115371057598,0.6807900438339759,-0.5501675814702546,0,0.3975220469529754,0,0.15180853365346456,-0.6648408360300728,0,-0.08650881750079564,0,-0.2950579449355325,-0.15687691116486083,-0.7028203604432401,-0.6025339877860586,-0.4121313505110722,-0.6414550537923652,-0.3329296820667216,-0.5025623333912795,0.4591237266097087,-0.5081340992145967,-0.6392210481643821,-0.6245459504423213,0.17301408922583728,-0.16099679589461105,-0.15010519501537464,-0.15901104743267744,0.4609939119426583,-0.1478554607303487,-0.1478554607303487,-0.09991093792197231,-0.03513671154478879,-0.024042338479066505,-0.16090995264846858,-0.16090995264846858,-0.15544267053701016,0,0
