Source,ZEB1_H,ZEB1,YAP,WT1,Wee1,UbcH10,U_Kinetochores,Twist,TRIO,TGFb_secr,TAZ,Stress_Fibers,SNAI2,SNAI1,Replication,PTEN_c,Plk1_H,Plk1,pAPC,N_bcatenin_H,N_bcatenin,Mst1_2,miR_34,miR_29c,miR_200,Mad2,LEF1,Lats1_2,FoxM1,FocalAdhesions,f4N_DNA,Emi1,Ect2,Ecadherin_mRNA_H,Ecadherin_mRNA,Cytokinesis,CyclinB,CyclinA_mRNA,CyclinA,CHK1,Cdk1,Cdh1,Cdc25C,Cdc25B,Cdc25A,Cdc20,b_catenin_TCF4,ATR,ApicalBasal_Pol,AMOT,A_Kinetochores
ZEB1_H,0.8999338415233116,0.8999732673929024,0.7,0.6,-0.29742043551088776,0.26029411764705884,0.21387206586707835,0.9,0.6,0.8999810579154236,0.7,0.5,0.8998966227471217,0.9999871187968956,0.3039655172413793,-0.5,0.49207459207459203,0.45854791133263884,0.32254074903570984,0.8991575742085051,0.7,-0.7,-0.9999871187968956,0.6,-0.9999920431262558,-0.0867566216891554,0.9999890425969046,-0.6,0.5758137286496938,0.6,0.17663197729422894,-0.35165324653075214,0.07193181818181818,-0.9,-0.9999821556031406,0.08045454545454546,0.38063492063492055,0.4931034482758621,0.1375930032027593,0.2,0.360527950310559,-0.2363347763347763,0.3714250207125104,0.48839285714285713,0.44725495569562435,-0.0805685891169762,0.8998674700889666,0.26,-0.8,-0.5,0.2737523570081709
ZEB1,0.9999420334185822,0.8999791775117126,0.7,0.6,-0.30481750562186477,0.26804614318845815,0.22269372942636662,0.9,0.6,0.8999852442083517,0.7,0.5,0.8999094461449586,0.9999899621069538,0.31076797385620913,-0.5,0.4934108527131783,0.46289485962071525,0.3283349645026487,0.8992499977349879,0.7,-0.7,-0.9999899621069538,0.6,-0.9999938002758878,-0.08796043212286866,0.9999914632064197,-0.6,0.5789412327026429,0.6,0.18488372093023256,-0.35600310505433846,0.08384228384228383,-0.9,-0.9999860973532837,0.09047619047619046,0.3887278777794585,0.494238683127572,0.15170649992361707,0.2,0.3643490115882754,-0.2482823505608316,0.3749853706612461,0.4902621722846442,0.45284940548563846,-0.0902178546588589,0.8998838998767331,0.2644444444444444,-0.8,-0.5,0.28096827383435646
YAP,0.06389191683382175,0.16374489136775347,0.851847809137689,0.8849056603773585,-0.29467267709800415,0.24023201467866562,0.19115343558826503,0.05991295442908347,0.8849056603773585,0.0503013046210509,0.7378947368421052,0.8,0.1871291767917215,0.07293601164513812,0.2744104999155971,-0.8,0.6014714827623341,0.4787120773820244,0.3809008232196431,0.02288152768387061,0.7095238095238096,-0.7095238095238096,-0.07293601164513812,0.8849056603773585,-0.0748826223484738,-0.10458271160623092,0.07345652993380788,-0.6666666666666667,0.48111664494211287,0.8849056603773585,0.14256580208647263,-0.386202217003512,0.042478623775542755,-0.7500861769727906,-0.17429666922820702,0.04021856421991933,0.2889243137633387,0.47997270494687516,0.052181205967437486,0.27637098097493473,0.4116918421554464,-0.18485190463426587,0.4227267984879279,0.4436335847656697,0.43166624752463845,-0.013312241653745015,0.05714663502664576,0.27582169943518875,-0.7323907037217617,-0.6,0.2624668731097798
WT1,0.5689654615066015,0.584003989030167,0.7,0.6,-0.28708396965428623,0.24322946075663468,0.1936902675854073,0.39591836734693875,0.6,0.48762399622106756,0.7,0.5,0.6583621844985481,0.4889478579635608,0.2800656814449918,-0.5,0.541056622851365,0.4603948355714248,0.3418690080243453,0.3342621686355701,0.6,-0.6,-0.4889478579635608,0.6,-0.4925652358176425,-0.09688709726122534,0.49068550497121927,-0.5,0.4658481687034575,0.6,0.15827628175870984,-0.36563174586666214,0.039552436097286654,-0.7954802259887005,-0.5874202898550724,0.0417331214555421,0.31259580977789064,0.43225133075879346,0.0788971271769749,0.24482758620689654,0.3819394790602656,-0.19800314581557882,0.3946753479214212,0.4136328702335206,0.42792207912978597,-0.039308750278438935,0.5474144183989386,0.2698275862068965,-0.7,-0.4,0.26358875711270513
Wee1,-0.10766118670443618,-0.10100321722882163,-0.05426356589147287,-0.03333333333333333,0.2670068891712988,-0.012432973037587147,-0.1272692327866864,-0.09542973692973693,-0.03333333333333333,-0.10413387465249402,-0.05426356589147287,0,-0.10380207039063505,-0.10905049875476833,-0.1298324050110854,0,-0.4249087013259235,-0.39753033415545647,-0.3142261351232683,-0.09642721837639642,-0.05426356589147287,0.05426356589147287,0.10905049875476833,-0.03333333333333333,0.11299227704416459,0.07687306341473284,-0.10988628095505555,0.03333333333333333,-0.2975357300597544,-0.03333333333333333,0.04028219319727177,0.30492053457218393,0.057236021911762136,0.09249975107127822,0.10534540771540728,0.05888819565330354,0.009773839712126565,-0.30019509060670796,0.09509820931080717,-0.13333193590366896,-0.4388332312596657,0.09265101369182178,-0.3379328493764769,-0.26788315142250946,-0.24954400880301342,-0.03156343471076118,-0.10300969478602125,-0.1312571290835119,0.07594188756979454,0,-0.18198037197859432
UbcH10,0.46646334808011564,0.4597436213079937,0.3701553348612172,0.29047619047619044,0.31873318059465416,-0.0682078553775961,-0.19918201733219185,0.4757953834458298,0.29047619047619044,0.485859431255132,0.36865168539325843,0.2,0.42206967938083506,0.5032188528335848,-0.2499996951672699,-0.2,-0.4910036801042884,-0.4675360716941971,-0.2511814400490041,0.3105956199611636,0.3664433811802233,-0.3664433811802233,-0.5032188528335848,0.29047619047619044,-0.5329345174613345,0.12036495254986505,0.5151494774044691,-0.2894736842105263,-0.47642110979557983,0.29047619047619044,-0.33551666022002813,0.3964070399619584,0.06193634121040896,-0.4642126443128114,-0.48723028945299635,0.0639155763267186,-0.22877662422517106,-0.4742560532479846,-0.2648145535216796,-0.25121018596797673,-0.3875495630746182,0.32102128318153,-0.4185817499441617,-0.4279021408202067,-0.4345831793069655,0.09558438048056915,0.40436146130957207,-0.251156199159536,-0.42415614713767014,-0.2,-0.3016276758274977
U_Kinetochores,0.3460425420974164,0.34371483283086474,0.2743589743589744,0.2,0.2617191674936292,-0.1613953358906113,-0.04223233734944424,0.3645059091391915,0.2,0.3637704532492324,0.2736842105263158,0.1,0.3178486303902129,0.3836423173825674,-0.2589160753596477,-0.1,-0.3607308232661801,-0.3486664742005551,-0.13145434236068682,0.256729528903023,0.27297297297297296,-0.27297297297297296,-0.3836423173825674,0.2,-0.4086035122565931,0.06496035846536082,0.39135133549771883,-0.2,-0.3445021129983748,0.2,-0.11795665152081243,-0.07066981451970775,-0.13761532430382004,-0.3510627050231011,-0.36728197834389625,-0.1367591261572729,-0.15077794814812037,-0.3409279832861231,-0.23898187788326627,-0.25840394518212645,-0.21769675329659996,0.3259753937629163,-0.22525466576550252,-0.22748594533253558,-0.31701831750357023,0.040033435038269415,0.3105108931595454,-0.25925838889113423,-0.320992774953171,-0.1,0.08032578458220795
Twist,0.8999053663323437,0.8999617810051597,0.7,0.6,-0.2925319693094629,0.25585376575168506,0.20981018119068162,0.7,0.6,0.8999729382315135,0.7,0.5,0.9998522569376508,0.7999815710665745,0.2979869027407228,-0.5,0.4907356948228883,0.4537318473488686,0.3196098388464801,0.898846135964258,0.7,-0.7,-0.7999815710665745,0.6,-0.9999886347492541,-0.08638716356107659,0.8999843217183396,-0.6,0.5705222437137331,0.6,0.17389162561576355,-0.3484615880797265,0.06752123354044348,-0.9,-0.9999744946757636,0.07688679245283019,0.36830913145156907,0.4915151515151515,0.13053284387340788,0.2,0.35779220779220783,-0.2300908242084713,0.3686034353995519,0.4860215053763441,0.4407183908045977,-0.07629721876297219,0.8998106332376183,0.2578947368421053,-0.8,-0.5,0.2698488519672321
TRIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TGFb_secr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
