Source,ZEB1_H,ZEB1,Wee1,UbcH10,U_Kinetochores,Twist,SNAI2,SNAI1,Replication,Rac1,Plk1_H,Plk1,pAPC,PAK1,N_bcatenin_H,miR_34,miR_200,Merlin,Mad2,LEF1,IQGAP1_LeadingE,Horizontal_Pol,FoxM1,f4N_DNA,Emi1,Ect2,Cytokinesis,CyclinB,CyclinA_mRNA,CyclinA,CHK1,Cdk1,Cdh1,Cdc25C,Cdc25B,Cdc25A,Cdc20,b_catenin_TCF4,ATR,A_Kinetochores
ZEB1_H,0.9,0.9,0,0,0,0.9,0.9,1,0,0.9,0,0,0,0.8,0.9,-1,-1,-0.7,0,1,0.8,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0
ZEB1,1,0.9,0,0,0,0.9,0.9,1,0,0.9,0,0,0,0.8,0.9,-1,-1,-0.7,0,1,0.8,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0
Wee1,-0.10766118670443618,-0.10100321722882163,0.2670068891712988,-0.012432973037587147,-0.1272692327866864,-0.09547504964171631,-0.10379273748814091,-0.10923225752886682,-0.1298324050110854,-0.0969966791538395,-0.4249087013259235,-0.39753033415545647,-0.3142261351232683,-0.07893352125910266,-0.09642438862629152,0.10907028221701635,0.11300681353350864,0.05696969696969697,0.07687306341473284,-0.10988628095505555,-0.07910710154984965,-0.05696969696969697,-0.29753495458355383,0.04028219319727177,0.30492053457218393,0.057236021911762136,0.05888819565330354,0.009773839712126565,-0.30019509060670796,0.09509820931080717,-0.13333193590366896,-0.4388332312596657,0.09265101369182178,-0.3379328493764769,-0.26788315142250946,-0.24954400880301342,-0.03156343471076118,-0.10301937162069001,-0.1312571290835119,-0.18198037197859432
UbcH10,0.4664512929869894,0.4598866060452321,0.3187343856725039,-0.06820838674523352,-0.19918249734805377,0.4774347016643662,0.4216034250182094,0.5073827268929494,-0.2500005799499402,0.4914686579417328,-0.49101677465398497,-0.4675414298227176,-0.25118263018643716,0.44263144863940723,0.310496419856675,-0.5040838560928924,-0.533669472198034,-0.376214158531344,0.12036495254986505,0.5152916850127817,0.4449947340705635,0.37722222222222224,-0.4764643586032976,-0.33551666022002813,0.3964080369754951,0.0619357455425257,0.0639155763267186,-0.22878236783106373,-0.4742867389089275,-0.26481541357342747,-0.25121018596797673,-0.3875504836955348,0.32102243571373373,-0.41858413880219303,-0.4279222200783385,-0.43458973363489306,0.09558480731624305,0.4048778010382323,-0.251156199159536,-0.301628271476252
U_Kinetochores,0.34603383105656765,0.34373460096975117,0.2617191674936292,-0.1613953358906113,-0.04223233734944424,0.3651573086158908,0.3177179810635332,0.3857595152579677,-0.2589160753596477,0.37630986169302155,-0.3607322276481889,-0.34866701596518446,-0.13145434236068682,0.33843537414965985,0.2566999588938485,-0.3839335615608425,-0.40883735926294057,-0.28095238095238095,0.06496035846536082,0.3913720610503571,0.3399860971653665,0.28130841121495326,-0.3445107424338921,-0.11795665152081243,-0.07066981451970775,-0.13761532430382004,-0.1367591261572729,-0.1507786554399798,-0.3409319411501728,-0.23898187788326627,-0.25840394518212645,-0.21769675329659996,0.3259753937629163,-0.22525466576550252,-0.22748855883909855,-0.3170191080436239,0.040033435038269415,0.3106374371586852,-0.25925838889113423,0.08032578458220795
Twist,0.9,0.9,0,0,0,0.7,1,0.8,0,0.9,0,0,0,0.8,0.9,-0.8,-1,-0.7,0,0.9,0.8,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0
SNAI2,1,1,0,0,0,0.8,1,0.9,0,0.8,0,0,0,0.7,0.8,-0.9,-0.9,-0.6,0,0.9,0.7,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SNAI1,0.9,0.9,0,0,0,1,0.9,0.9,0,0.9,0,0,0,0.8,0.9,-0.9,-1,-0.7,0,0.9,0.8,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0
Replication,0.01470934907896317,0.018114900655347287,0.3318750271277415,-0.0322920713911475,0.08194796565803651,0.023538381819527724,0.012567138363634562,0.022787166618467185,-0.05655234363968421,0.024156259131003315,-0.3146762680162938,-0.34382607759380757,-0.24567952407884808,0.020658849804578445,0.005490201474935958,-0.022739801517841832,-0.02495927905859551,-0.01111111111111111,-0.006992974207824802,0.02312199234587549,0.020658849804578445,0.01111111111111111,-0.1518092035216204,0.196862083959721,0.06947885502714063,0.09933892513954805,0.10028997976128569,-0.019270949123098978,-0.15142920263320175,-0.0031772641743557976,0.042163127600589226,-0.25478028610837566,0.16421623654421166,0.00922081023730757,0.12079645459883533,-0.21503724588121872,0.06851867005185559,0.01228590369779763,0.04270224002873732,0.1044532594210477
Rac1,0.7,0.7,0,0,0,0.8,0.7,0.8,0,0.8,0,0,0,0.8,0.7,-0.7,-0.8,-0.7,0,0.7,0.9,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0
