Source,ZEB1_H,ZEB1,YAP,WT1,Wee1,UbcH10,Twist,TRIO,TAZ,Stress_Fibers,SNAI2,SNAI1,Rac1,Plk1,pAPC,PAK1,N_bcatenin_H,N_bcatenin,Mst1_2,miR_34,miR_200,Merlin,LEF1,Lats1_2,IQGAP1_LeadingE,Horizontal_Pol,FoxM1,FocalAdhesions,Emi1,Ecadherin_mRNA_H,Ecadherin_mRNA,CyclinB,CyclinA_mRNA,CyclinA,Cdk1,Cdh1,Cdc25C,Cdc25B,Cdc25A,Cdc20,b_catenin_TCF4,ApicalBasal_Pol,AMOT
ZEB1_H,0.8997531906399902,0.899923435207044,0.7,0.6,-0.35617412352029043,0.2828430711285498,0.9,0.6,0.7,0.7,0.8996187322003173,0.999965512286248,0.9,0.46992798748209774,0.33285921385635686,0.8,0.8966082331910054,0.7,-0.7,-0.999963388961772,-0.9999773486607395,-0.7,0.9999683394016147,-0.6,0.8,0.7,0.5856775626976318,0.8,-0.3778515021968887,-0.9,-0.9999492310621285,0.41022504056986814,0.49615032080659943,0.1846973344421587,0.3770356282490174,-0.2804808065470447,0.3816732459058405,0.49615032080659943,0.46507135418675516,-0.11824275469685297,0.8995186288902467,-0.8,-0.6
ZEB1,0.9997888026331168,0.8999402360675333,0.7,0.6,-0.360025810273335,0.28895467277820214,0.9,0.6,0.7,0.7,0.8996737009382307,0.9999730700179533,0.9,0.4731404287969781,0.337127402741915,0.8,0.8969962493024702,0.7,-0.7,-0.999971419725153,-0.9999823183579648,-0.7,0.9999752903385224,-0.6,0.8,0.7,0.587594345323681,0.8,-0.38031600385423964,-0.9,-0.9999603698811097,0.4170342589782667,0.49682299546142206,0.19459439509971646,0.37939729840719505,-0.2876116463347414,0.38384409300658573,0.49682299546142206,0.4687307965501123,-0.1262121732342792,0.8995879918154503,-0.8,-0.6
YAP,0.11963900754739942,0.26479313933743887,0.8943981505197944,0.8984236453201971,-0.3740262818260079,0.2587915512710359,0.38931394207872383,0.8984236453201971,0.7950565376652333,0.7936261176144909,0.26563001770708095,0.4432713900917551,0.8334552790442306,0.49330366584315194,0.382355010868122,0.7641855876966172,0.0261519724195039,0.7913832199546486,-0.7913832199546486,-0.27450141137825257,-0.3167456799480235,-0.6842577030812326,0.17670203358092468,-0.6961904761904762,0.8845741388875501,0.8940451258867904,0.5118023131588705,0.8836429972865429,-0.441097672704924,-0.90802818887821,-0.2820136695694419,0.31793900201817615,0.5049256517399219,0.08508877739095741,0.448968692427416,-0.2375298928195187,0.4525571933800565,0.5049256517399219,0.4660965864205927,-0.03804360048471407,0.13715561788814667,-0.8803359375861112,-0.5974193548387097
WT1,0.5731283575779791,0.5869269722814499,0.7,0.6,-0.35579740810931815,0.25631496142239557,0.3969811320754717,0.6,0.7,0.6,0.6661727178909842,0.49231713688610246,0.6990062111801242,0.4712348760529877,0.34025672033219206,0.6,0.4489558868804152,0.7,-0.7,-0.4911929824561404,-0.4939893048128342,-0.5,0.4921957888980038,-0.6,0.7,0.8,0.49267355098603954,0.7,-0.40233901674496186,-0.7978779840848806,-0.5899378881987578,0.34420870730002473,0.44579075796858325,0.11046640725047793,0.4042238078663418,-0.24003053267133367,0.41016076166692683,0.44579075796858325,0.453012070784015,-0.06539104701769119,0.5575517318938372,-0.8,-0.5
Wee1,-0.0835553611388385,-0.07933602001673665,-0.05333333333333333,-0.03333333333333333,0.290485395659544,-0.02520274988258033,-0.07944580863585768,-0.03333333333333333,-0.052564102564102565,-0.054022988505747126,-0.07970649922078196,-0.08924523721303743,-0.08222259308405991,-0.3990872645459108,-0.3153824302632943,-0.06920745920745922,-0.07118495848694513,-0.048333333333333325,0.048333333333333325,0.08903507978616869,0.0938241423743369,0.052564102564102565,-0.09005059763086017,0.03333333333333333,-0.07190072783677366,-0.05308641975308641,-0.31276601028471007,-0.07168380721919743,0.347309851468888,0.07549267003124248,0.08457425011790337,-0.007898343571406969,-0.31361142836554934,0.07027384782006918,-0.45676843280470225,0.1322733913494209,-0.3576675326822011,-0.31361142836554934,-0.2739586971470667,-0.01575766764679589,-0.07886123126478801,0.06527322404371584,0.03333333333333333
UbcH10,0.49310828807101126,0.47818075105821567,0.3828481012658228,0.29500000000000004,0.4771904471756609,-0.08519036715769707,0.4845741619545539,0.29500000000000004,0.38313710099424386,0.38255913714916046,0.45002861825515705,0.5220361154462536,0.505136235458213,-0.4980807602502221,-0.2663468107227036,0.4481415902105558,0.34189708482545217,0.37263986013986017,-0.37263986013986017,-0.5187567465950278,-0.5460670248786111,-0.37756687756687757,0.5292756534915006,-0.2925233644859813,0.4598563547013151,0.38162706829846677,-0.5020989749672055,0.4589732246625009,0.4577624879596517,-0.47622350882648795,-0.5040934628196392,-0.24925723332900668,-0.49528970975607833,-0.2933086504252791,-0.46704280786324465,0.3760193805819981,-0.4666776776376734,-0.49528970975607833,-0.4707843908467547,0.11762515662569444,0.4327771198456973,-0.4416053773812395,-0.2952941176470588
Twist,0.8997821392276789,0.8999265347352955,0.7,0.6,-0.35428637627432813,0.27892405935656883,0.7,0.6,0.7,0.7,0.9996633921221422,0.7999668558644405,0.9,0.46903890160183065,0.3301660646821937,0.8,0.8970538963081107,0.7,-0.7,-0.7999648413465764,-0.9999782880095532,-0.7,0.8999696152531429,-0.6,0.8,0.7,0.5858608349900597,0.8,-0.3766313082610093,-0.9,-0.9999512878280461,0.4099442818865683,0.496,0.17868986074239673,0.3755072207486001,-0.276111764967349,0.3807369650631836,0.496,0.46439890710382514,-0.1134162826420891,0.8995749344271591,-0.8,-0.6
TRIO,0.5802474930477171,0.5913062263714219,0.8,0.7,-0.38915810547389496,0.29302477588397,0.6986394557823129,0.7,0.7,0.8,0.5752391403954985,0.6955154431560426,0.899637516991391,0.506586067233774,0.37289890124778446,0.8,0.47155301580868436,0.6,-0.6,-0.5946924367977,-0.6963904788054154,-0.7,0.595124396011103,-0.6,0.9,0.8,0.627385600316395,0.9,-0.4299184164969575,-0.6992263056092843,-0.6936568746835963,0.3949309453511134,0.5680873547023599,0.16200753103050664,0.4313977777538067,-0.2889316081863058,0.43704545264656425,0.5680873547023599,0.49302915456290197,-0.0951718838631055,0.568534062133284,-0.7,-0.7
TAZ,0.5785978461765937,0.5906565163641095,0.8,0.7,-0.38752941857653256,0.2892379907296022,0.5984,0.7,0.7,0.7,0.6739365204768262,0.5951663082437276,0.79960513326752225,0.5052486788117474,0.3698280065974498,0.7,0.4650158801951415,0.7,-0.7,-0.5941758775983376,-0.5960107835107835,-0.6,0.49461658411300685,-0.7,0.9,0.9,0.6271393237241523,0.8,-0.4284979074601199,-0.6991434689507494,-0.5931386371265526,0.3950151862860115,0.5675864072030207,0.15610718351323455,0.4296265586526581,-0.28448078720381437,0.4359172195682023,0.5675864072030207,0.4917948387220057,-0.09060888077618506,0.5668966596610472,-0.8,-0.6
Stress_Fibers,0.176752146595245,0.29304825609173435,0.8989026063100137,0.8,-0.3720999329750831,0.25896217296829793,0.39315007012622727,0.8,0.7989730423620026,0.698821796759941,0.3028358586588484,0.45742328504453517,0.7745525115275923,0.49130543781539054,0.37495206330014796,0.6889677035862889,0.06640421145618207,0.6977715877437326,-0.6977715877437326,-0.3087015590338119,-0.34010321068451865,-0.596734693877551,0.21120397797253693,-0.6,0.7958451874968514,0.8988309790550414,0.5121730705765641,0.7955564906374921,-0.4358767023683545,-0.8613698334199418,-0.3101237703319464,0.32435054918484857,0.4974692942308713,0.08982791153869703,0.4421742656253211,-0.23909301644940412,0.44684128466885076,0.4974692942308713,0.4660427423268098,-0.043373355915584735,0.17668502225309357,-0.7939656886000599,-0.5
