Source,ZEB1_H,ZEB1,YAP,WT1,Twist,TRIO,TGFb_secr,TAZ,Stress_Fibers,SNAI2,SNAI1,Rac1,PTEN_c,pRB,PAK1,p27Kip1,p21,N_bcatenin_H,N_bcatenin,Myc,Mst1_2,miR_34,miR_29c,miR_200,Merlin,LEF1,Lats1_2,IQGAP1_LeadingE,Horizontal_Pol,FocalAdhesions,Fast_Migration,Ecadherin_mRNA_H,Ecadherin_mRNA,E2F1,CyclinE,CyclinD1,b_catenin_TCF4,ApicalBasal_Pol,AMOT
ZEB1_H,0.8988547893534019,0.8995265103463537,0.7,0.6,0.8999367788841474,0.6,0.8996516117389032,0.7,0.7,0.8982862850598214,0.9997433353393903,0.8999641352102573,-0.5,-0.5,0.8,-0.5,-0.4,0.8883064680198312,0.7,0.6,-0.7,-0.9997276270642571,0.6,-0.9998205908151053,-0.7,0.9997646258167572,-0.6,0.8,0.7,0.8,0.7,-0.899927122555569,-0.9996603925200231,0.6,0.5,0.6,0.8978375886714774,-0.8,-0.6
ZEB1,0.9989958149227538,0.8996005700898053,0.7,0.6,0.8999505989872792,0.6,0.8997069544982402,0.7,0.7,0.8984920628510741,0.9997860733959409,0.8999719173433807,-0.5,-0.5,0.8,-0.5,-0.4,0.8893573264824097,0.7,0.6,-0.7,-0.9997730195613412,0.6,-0.9998510926172173,-0.7,0.9998039067780521,-0.6,0.8,0.7,0.8,0.7,-0.8999429576460521,-0.9997150529233771,0.6,0.5,0.6,0.8980967793882717,-0.8,-0.6
YAP,-0.1618156579196241,0.021731339344242727,0.87751091659119,0.8912672166208371,0.15392139741366193,0.8912672166208371,0.06945899043070815,0.7796172179621446,0.775116421462059,-0.08971332431432823,0.16973118651081495,0.7563627533898257,-0.7978666666666666,-0.899948343772196,0.7070117859639133,-0.8999316823228011,-0.8,-0.46096492769921404,0.7685868485816674,0.99901810941251,-0.7685868485816674,-0.026688337392221557,0.8912672166208371,-0.3402553951224925,-0.6474456254433061,0.06807579998167998,-0.6819360293081583,0.8529631183889016,0.8766391409047694,0.8506025734950583,0.8785379637167468,-0.7951702103393983,-0.008295084902337916,0.9992018129210877,0.8999400479616307,0.9994730359276769,-0.25221114714780735,-0.8426652343014966,-0.5843560933448574
WT1,0.5207112111451151,0.5522144949933996,0.7,0.6,0.38327876631079477,0.6,0.4619770968918582,0.7,0.6,0.5997135754719495,0.4689756820406975,0.6943779384830346,-0.5,-0.6,0.5984063745019921,-0.6,-0.5,0.22312059741975152,0.7,0.7,-0.7,-0.46489018087855294,0.6,-0.47640534718479577,-0.5,0.4689637498479119,-0.6,0.6993939393939395,0.8,0.6993388429752067,0.7,-0.7899376245343499,-0.5611062518222333,0.7,0.6,0.7,0.4784677128427129,-0.7987804878048781,-0.5
Twist,0.8990010305218158,0.8995756670058928,0.7,0.6,0.6999394673123487,0.6,0.8996873570412879,0.7,0.7,0.9985070357260601,0.7997672777345561,0.8999653033785835,-0.5,-0.5,0.8,-0.5,-0.4,0.8898255877312093,0.7,0.6,-0.7,-0.799753291674153,0.6,-0.9998370172984294,-0.7,0.899786782272885,-0.6,0.8,0.7,0.8,0.7,-0.8999295278365047,-0.9996944191194304,0.6,0.5,0.6,0.898117009258723,-0.8,-0.6
TRIO,0.5348677161237709,0.5647473780595078,0.8,0.7,0.6903772466916848,0.7,0.5719859163824681,0.7,0.8,0.5206058717332924,0.6795199574713792,0.8974289040252443,-0.6,-0.6,0.7994535519125683,-0.6,-0.5,0.2844185586852924,0.6,0.7,-0.6,-0.5756223600074596,0.7,-0.6837662987422836,-0.7,0.5778902157008511,-0.6,0.8998012916045702,0.8,0.8997883597883598,0.8,-0.6951722746013898,-0.6721892697149037,0.7,0.6,0.7,0.501305736678564,-0.6995930824008139,-0.7
TGFb_secr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAZ,0.5304672732833766,0.5628152618666153,0.8,0.7,0.5893447293447294,0.7,0.4702307269730818,0.7,0.7,0.6172281897120102,0.5782526431372323,0.7973804153063769,-0.6,-0.6,0.6993957703927492,-0.6,-0.5,0.27553869264687275,0.7,0.7,-0.7,-0.5735922853369081,0.7,-0.5824798011706623,-0.6,0.4759463014509935,-0.7,0.8997871208089409,0.9,0.7997707736389684,0.8,-0.6950971493355869,-0.5702373060361985,0.7,0.6,0.7,0.49789599298912945,-0.7995698924731183,-0.6
Stress_Fibers,-0.08993119031577443,0.08986135479632588,0.8938110614239237,0.7985046728971963,0.21136909692840306,0.7985046728971963,0.10500709456094073,0.7944771485801237,0.6930344827586207,0.02997600919218111,0.22319360855946221,0.7293471361392603,-0.7,-0.8,0.6608941533283401,-0.8,-0.7,-0.36502861049163426,0.6901122019635343,0.8997969027671997,-0.6901122019635343,-0.10355613625743328,0.7985046728971963,-0.3536745229954267,-0.5828150572831424,0.10397963800136681,-0.5962962962962963,0.7830605464767221,0.8934442265691012,0.7820404378662706,0.8942828722255625,-0.7941690508001484,-0.09549998708495519,0.8998461242546643,0.8,0.8999040076793857,-0.15593543184827513,-0.777623352721786,-0.49724137931034484
SNAI2,0.9994347975317817,0.99980276786003075,0.7,0.6,0.7999796603274687,0.6,0.8998563088106236,0.7,0.6,0.9991437919704105,0.899896958281286,0.7999882656653368,-0.5,-0.5,0.7,-0.5,-0.4,0.7931184504135574,0.7,0.6,-0.7,-0.8998908146806464,0.6,-0.8999290431162302,-0.6,0.8999057458196479,-0.6,0.7,0.7,0.7,0.6,-0.8999762003926935,-0.9998609669200548,0.6,0.5,0.6,0.9989190351274454,-0.8,-0.5
SNAI1,0.8987683620004023,0.899479938797537,0.7,0.6,0.9999287580147234,0.6,0.8996170649675687,0.7,0.7,0.8981593990661925,0.8997169859384782,0.8999596204320615,-0.5,-0.5,0.8,-0.5,-0.4,0.8876671142499601,0.7,0.6,-0.7,-0.8996996555410449,0.6,-0.9998019150482538,-0.7,0.8997403724670141,-0.6,0.8,0.7,0.8,0.7,-0.8999179094267342,-0.9996264062779281,0.6,0.5,0.6,0.8976779455189539,-0.8,-0.6
Rac1,0.6073019071915023,0.642893391508115,0.8998033431661749,0.8,0.7777474889062177,0.8,0.653203307686816,0.7998163452708907,0.8997883597883598,0.588312678016015,0.7630998074177886,0.893054072807313,-0.7,-0.7,0.8974289040252443,-0.7,-0.6,0.31095252133663653,0.6995930824008139,0.8,-0.6995930824008139,-0.6570686711835004,0.8,-0.7698041958786278,-0.7994535519125683,0.6610781280226217,-0.7,0.9989772968781365,0.8997873094647287,0.9989063700194413,0.8998448409619859,-0.788373901562459,-0.7526088501344841,0.8,0.7,0.8,0.5625592979321252,-0.7983079961647638,-0.8
PTEN_c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
