Source,ZEB1_H,ZEB1,YAP,WT1,Wee1,UbcH10,Twist,Stress_Fibers,SNAI2,SNAI1,pRB,Plk1,pAPC,p27Kip1,p21,N_bcatenin_H,N_bcatenin,Myc,Mst1_2,miR_34,miR_200,LEF1,Lats1_2,FoxM1,FocalAdhesions,Emi1,Ecadherin_mRNA_H,Ecadherin_mRNA,E2F1,CyclinE,CyclinD1,CyclinB,CyclinA_mRNA,CyclinA,Cdk1,Cdh1,Cdc25C,Cdc25B,Cdc25A,Cdc20,b_catenin_TCF4,ApicalBasal_Pol,AMOT
ZEB1_H,0.8995050067626071,0.8997993403741038,0.7,0.6,-0.36462932707748597,0.2836431937115932,0.8999772649766966,0.5,0.8992463372474393,0.9998871371883681,-0.481027815558578,0.4759969679839663,0.2986576098645064,-0.4754866627592313,-0.3925925925925926,0.8944166273626566,0.7,0.5861739463827529,-0.7,-0.9998871371883681,-0.9999263502083645,0.999904022105904,-0.6,0.5847595648159299,0.6,0.19173109888397405,-0.8999696578927405,-0.9998570658509376,0.5288260367461137,0.47879948914431675,0.5903531629660662,0.41512282936271144,0.48346741070164007,0.2748492995723052,0.377357910906298,-0.32676254180602005,0.3826425613905629,0.49612188365650967,0.4734619366060988,-0.16669160815010936,0.8990341351606703,-0.8,-0.5
ZEB1,0.999567673260483,0.8998332838901867,0.7,0.6,-0.3674690611135877,0.2880417342180475,0.8999822726466938,0.5,0.8993401013142076,0.9999070167767359,-0.4832461990356727,0.47838870618132895,0.30402646200583605,-0.47816567033720003,-0.39382716049382716,0.8949748754174844,0.7,0.5879234572422634,-0.7,-0.9999070167767359,-0.9999395131002122,0.999920944988743,-0.6,0.5866846260452514,0.6,0.2056069857232648,-0.8999763523499853,-0.9998816790695224,0.5351247982979832,0.48114928209796687,0.59166235540293,0.42048200483127474,0.48536901165299956,0.2824709025795983,0.37942843784699903,-0.3319295139476704,0.3844449623242446,0.49675174013921114,0.4761759123213036,-0.17470985121220511,0.8991541513306389,-0.8,-0.5
YAP,-0.3263235238810802,-0.16987296729716925,0.7153809173264426,0.8235521235521235,-0.49218142085408473,0.35090405937034713,-0.2680381320477544,0.7857142857142857,-0.254927252306161,-0.29785801969471104,-0.5940076307556026,0.616966483381915,0.42015072032702444,-0.5832826429468421,-0.579978449666804,-0.3950138099153292,0.524114411441144,0.666201113415059,-0.524114411441144,0.29785801969471104,-0.16428971361021402,-0.11606865881172819,-0.5577777777777777,0.7267230348282178,0.8235521235521235,0.026153520195192615,-0.44777910199302423,0.2454372690741667,0.44983663386351785,0.6003575553142009,0.7173608650925279,0.4459743635102251,0.631995113901998,0.27747018914829014,0.5468716052531226,-0.40234017952965273,0.557688948794185,0.7037790347001586,0.5928940171448206,-0.1313462504847068,-0.3800851482391901,-0.4837014320901116,-0.5599999999999999
WT1,0.4421687022197721,0.5076698745990085,0.7,0.6,-0.40741263507268466,0.303834025318546,0.3699099099099099,0.5,0.4904996096799376,0.43259971468214414,-0.5190483898069402,0.5227341517317765,0.3321391247548813,-0.5087723798547925,-0.45773228019122847,-0.05410221028506025,0.6,0.5978797699152085,-0.6,-0.43259971468214414,-0.45527734044265317,0.44327944043114326,-0.5,0.6292580428030815,0.6,0.09118878296342689,-0.7694949494949495,-0.5238553986611839,0.43972411567959735,0.5150571209555597,0.6271830821402936,0.4120811883436007,0.5274534445885377,0.2651170625351645,0.43476680806528833,-0.3478832479601369,0.4423932663081599,0.5676372476960478,0.5094121073885682,-0.14458666289929495,0.35255044606261543,-0.6927272727272727,-0.4
Wee1,-0.03290590878280008,-0.0394652526954065,-0.01978021978021978,-0.014285714285714285,0.2991739497729251,-0.03142673676649762,-0.03521140229788593,0,-0.02503012110560124,-0.03880448229197139,0.12809016301529988,-0.4107261655557154,-0.31947945696550023,0.26600375046956404,0.25829064415264336,-0.01846539450742808,-0.01978021978021978,-0.1523847811276784,0.01978021978021978,0.03880448229197139,0.180286538829487,-0.058218106528019495,0.014285714285714285,-0.32830153134373874,-0.014285714285714285,0.3178617030182551,0.030601282859727935,0.03381355354153057,-0.08154072267094388,-0.2596263663457331,-0.17779973211310351,-0.016580490139162594,-0.2998169872557188,0.05724696263324823,-0.46312519215167863,0.14546927581862462,-0.36594327837299845,-0.3271451669760775,-0.2928648716465921,-0.010989308946384217,-0.02369674117870021,0.02648948495593863,0
UbcH10,0.4331630760926063,0.4054611573716338,0.34971988795518205,0.2833333333333333,0.4577471130981626,-0.07678625740077932,0.4335658136919397,0.2,0.4097438168948779,0.4587961043965695,0.3432399341294617,-0.4616263747991153,-0.24354142626659508,0.3798994447416115,0.16461592170635014,0.3386238642558548,0.3447811447811448,-0.07728755447593469,-0.3447811447811448,-0.4587961043965695,-0.3546894389869789,0.43803086920101303,-0.28181818181818186,-0.4451120146217389,0.2833333333333333,0.2209686113034209,-0.42589284101835057,-0.44857987158354684,0.15517458111107313,-0.17083680592855605,-0.07951103640313087,-0.24932680470006224,-0.23111430955217133,-0.30648107145826053,-0.449735504848013,0.35276725504514755,-0.44158255735612884,-0.43733258172882283,-0.369203106167744,0.13045540684659337,0.3995157304263096,-0.39148547623123897,-0.2
Twist,0.8993042513179461,0.8997129353670127,0.7,0.6,-0.3627571351642434,0.2816987613198709,0.6999676008423781,0.5,0.998941071427582,0.7998386814630327,-0.47853123550006327,0.47398149188865163,0.29654597738709887,-0.472507355344884,-0.39166666666666666,0.8924286388898596,0.7,0.5824600329976674,-0.7,-0.7998386814630327,-0.9998948458483387,0.8998627251263723,-0.6,0.5823029698245005,0.6,0.17893218630098592,-0.8999566489649939,-0.9997957343885959,0.5152276424531618,0.47572463768115936,0.5879387505529102,0.40891350854192715,0.4807798383262007,0.2703598484848485,0.3762048698572628,-0.3238168102415835,0.38134666163711806,0.49548387096774194,0.4704697025996724,-0.16297545496574622,0.8986436852028538,-0.8,-0.5
Stress_Fibers,-0.30609083891471045,-0.14501715334368087,0.8235521235521235,0.7857142857142857,-0.4726196222344428,0.3403445761425937,-0.23132474105461392,0.7,-0.23408459848742497,-0.2680381320477544,-0.5772299316355798,0.5950205898535983,0.3982818653690712,-0.5662162245687661,-0.5506797124492924,-0.38408999142755074,0.5577777777777777,0.6490984928522309,-0.5577777777777777,0.2680381320477544,-0.17816264197050496,-0.09240168975618943,-0.5599999999999999,0.7037790347001586,0.7857142857142857,0.03990818551936466,-0.4837014320901116,0.2152652455341033,0.4434290200758557,0.579978449666804,0.6953752426937387,0.43866811373780956,0.6064235963784257,0.2750263110236415,0.520192688270737,-0.3900404976801243,0.5302873970679984,0.6710034724751041,0.5733541743815274,-0.13508393281343792,-0.3592013865870296,-0.524114411441144,-0.5
SNAI2,0.9994233623397243,0.9997838989236241,0.7,0.6,-0.368140350877193,0.28997164262203334,0.7999783830523131,0.5,0.9991190149306559,0.8998803228065496,-0.48277369132122405,0.47843913032625246,0.3060410661542294,-0.47757112582131195,-0.3940476190476191,0.7933777256560026,0.7,0.5858679750223015,-0.7,-0.8998803228065496,-0.8999224748544735,0.8998982565505298,-0.6,0.5859132292954125,0.6,0.20340402862385046,-0.899971160778659,-0.9998471651928262,0.5261838405962929,0.48020146520146517,0.590509367859863,0.4186301580878634,0.48436263579866223,0.2841863864139249,0.38011451331839685,-0.3331448841591841,0.384707194645845,0.4967136150234742,0.47552919242897607,-0.17775043474572677,0.9988709749254646,-0.8,-0.5
SNAI1,0.8994456693628695,0.8997732858738109,0.7,0.6,-0.36375469849209485,0.28272141742978907,0.9999743573305981,0.5,0.8991559221876857,0.899872574516143,-0.4799709896095439,0.4751138652207591,0.29768464770829284,-0.47422084623323013,-0.3921875,0.8938467559484655,0.7,0.584851081913801,-0.7,-0.8998725741039528,-0.9999168556056383,0.8998916040084849,-0.6,0.5838012409724341,0.6,0.18626647642342709,-0.8999657328878609,-0.9998385885551008,0.5238206832375025,0.47752083333333334,0.5894670946470035,0.4124370705547176,0.48238372746391817,0.27279401040275764,0.376816706080404,-0.3254225773068284,0.3820585788713279,0.4958702064896755,0.47219245572386487,-0.16497619339929528,0.8989184617408992,-0.8,-0.5
