Source,YAP,WT1,Wee1,UbcH10,TRIO,TAZ,Stress_Fibers,Rac1,pRB,Plk1,pAPC,PAK1,p27Kip1,p21,Myc,Mst1_2,Merlin,Lats1_2,IQGAP1_LeadingE,Horizontal_Pol,FoxM1,FocalAdhesions,Emi1,Ecadherin_mRNA_H,E2F1,CyclinE,CyclinD1,CyclinB,CyclinA_mRNA,CyclinA,Cdk1,Cdh1,Cdc25C,Cdc25B,Cdc25A,Cdc20,ApicalBasal_Pol,AMOT
YAP,0.9,0.9,-0.4937271586696224,0.3519104580570044,0.9,0.8,0.8,0.9,-0.5990383820644671,0.6192091203136323,0.42108374296765544,0.8,-0.5872531112935112,-0.584333918928723,0.6843923482491163,-0.8,-0.7,-0.7,0.9,0.9,0.731172341890322,0.9,0.02952396895624827,-1,0.4661262603726685,0.6060575985568654,0.732124889681469,0.44850369925564293,0.6374258281587769,0.2794648300795057,0.5480920179155226,-0.4043745179571817,0.559370546565508,0.7072833883595263,0.5963345535021445,-0.1322494648172033,-0.9,-0.6
WT1,0.7,0.6,-0.4109531043154192,0.30666613651688274,0.6,0.7,0.6,0.7,-0.5274716139215605,0.5272095162470913,0.3347547497131985,0.6,-0.516812345530963,-0.4625180598555212,0.6234384662956092,-0.7,-0.5,-0.6,0.7,0.8,0.6369040636798877,0.7,0.10835398233136044,-0.8,0.48273230395111727,0.524862887441728,0.6445791477189207,0.4208060015656823,0.5365499314258206,0.2720224206448422,0.4371935987509758,-0.353254020751935,0.4454666910783878,0.5714888190837557,0.51653079849665,-0.14889195171333067,-0.8,-0.5
Wee1,0,0,0.2991739497729251,-0.03142673676649762,0,0,0,0,0.12809016301529988,-0.4107261655557154,-0.31947945696550023,0,0.26600375046956404,0.25829064415264336,-0.15238258120546583,0,0,0,0,0,-0.32830118260211505,0,0.3178617030182551,0,-0.08153982922581397,-0.2596263663457331,-0.17779838516058663,-0.016580490139162594,-0.2998169872557188,0.05724696263324823,-0.46312519215167863,0.14546927581862462,-0.36594327837299845,-0.3271451669760775,-0.2928648716465921,-0.010989308946384217,0,0
UbcH10,0,0,0.4577484934708259,-0.07678678771562097,0,0,0,0,0.34325594659913916,-0.46163217261416173,-0.24354263828999353,0,0.3799115634583109,0.16462499265332037,-0.07752495570052927,0,0,0,0,0,-0.44515519604845366,0,0.22096199919712625,0,0.1550688500297866,-0.17086061123778112,-0.07970531390313276,-0.24933308178607297,-0.23114642812629455,-0.30648311961373265,-0.44973651393091024,0.35276957972178025,-0.44158541939321444,-0.4373606612808219,-0.3692148928763497,0.1304563693509569,0,0
TRIO,0.8,0.7,-0.43101695190075306,0.32891624804958963,0.7,0.7,0.8,0.9,-0.5511085909831958,0.5465853955557781,0.3574223703785811,0.8,-0.541287372387107,-0.476869918699187,0.6510169019211294,-0.6,-0.7,-0.6,0.9,0.8,0.656388979740809,0.9,0.1731803997724724,-0.7,0.5372532768109897,0.5482886514815561,0.6658793418301518,0.453538477297675,0.5567627694860469,0.31030711737891703,0.45237352216703386,-0.38202858190879374,0.4599754589569118,0.5825174201077815,0.5397340984813445,-0.18099287982493112,-0.7,-0.7
TAZ,0.8,0.7,-0.42917377574389803,0.32588611299800696,0.7,0.7,0.7,0.8,-0.550485077520493,0.5452425981688341,0.3542926163455227,0.7,-0.5405314267938531,-0.47636739659367394,0.652226877600012,-0.7,-0.6,-0.7,0.9,0.9,0.6557945061010458,0.8,0.16976339701281257,-0.7,0.5412921622921827,0.5481709211531041,0.6665488185546313,0.45216066971856755,0.5566922524142917,0.3068144253044772,0.45081164070654545,-0.37949974110623785,0.4588456046193367,0.5818861071158675,0.5388578093282257,-0.1764670837920008,-0.8,-0.6
Stress_Fibers,0.9,0.8,-0.47504086948555563,0.3419829981804063,0.8,0.8,0.7,0.8,-0.5848021782587369,0.5984649611963649,0.39975650912001015,0.7,-0.5724296016900966,-0.556666333690403,0.6745268568387863,-0.7,-0.6,-0.6,0.8,0.9,0.7102973245291926,0.8,0.04668220992630343,-0.9,0.470975340633587,0.5885561934042609,0.7154895172346603,0.443107942882235,0.6145159559875278,0.2785529101960275,0.5220279932392776,-0.3933948417045002,0.5328121241961071,0.6757166935081419,0.5787356348881987,-0.1368116752535799,-0.8,-0.5
Rac1,0.9,0.8,-0.48199460553203793,0.35975502584936525,0.8,0.8,0.9,0.9,-0.6067015519625378,0.6029093306565403,0.4025232770764459,0.9,-0.593397880020858,-0.5482886514815561,0.7099106665909937,-0.7,-0.8,-0.7,1,0.9,0.7162790356944755,1,0.15386586648555894,-0.8,0.5632941587355539,0.6062213437892485,0.7327276455742193,0.48343333284843953,0.619997888178639,0.32956875855813106,0.512816308540956,-0.420792930322028,0.52315986543961,0.656388979740809,0.5934343247801552,-0.18234452783195593,-0.8,-0.8
pRB,0,0,0.4736035855287474,-0.3028623867957109,0,0,0,0,0.539565535504148,-0.5925133061134262,-0.30139787151928227,0,0.5425029362966128,0.6060647765045899,-0.5649920433153989,0,0,0,0,0,-0.59232821853305,0,-0.11541363569416793,0,-0.29798942431713416,-0.6219229441037422,-0.6206563329588699,-0.3345274683200679,-0.6625732245950375,-0.34948745134321335,-0.43780904733915554,0.4844875418394274,-0.5428051099741411,-0.5737383958037636,-0.6474182563943915,0.17704279721239416,0,0
Plk1,0,0,-0.06692774666976689,-0.06084641877520793,0,0,0,0,0.16049494897275057,0.058045632465576015,0.2789171057578876,0,0.06486355731945712,0.03140009975449056,-0.011954541779998357,0,0,0,0,0,0.08612661583732042,0,-0.12823479603810062,0,0.13939774410854422,-0.03367692515769409,-0.012138741229130511,-0.12707268208682548,0.09443130352428476,-0.17444608356888197,0.12331383373935209,0.14619309867200014,0.1207136017433923,0.08927121840880789,0.04683563926748062,0.15134313824104406,0,0
pAPC,0,0,0.42484197175153743,-0.18173387865340246,0,0,0,0,0.33531984260796205,-0.4390226852938374,-0.09796364284435194,0,0.3749798247254839,0.2176547356565705,-0.09915323038991448,0,0,0,0,0,-0.4377798245410524,0,0.37906134888762855,0,0.1352778331958538,-0.2230308346178253,-0.10340985679326713,-0.39178346309894496,-0.2797840400295218,-0.25148780320952124,-0.507966833024866,0.30857086896109465,-0.5059096957264602,-0.4313702186148822,-0.38360259890230314,0.21535194629368135,0,0
PAK1,0.9,0.8,-0.46675666565263996,0.34572176215631356,0.8,0.9,0.7,0.8,-0.5850947558209607,0.5871264039480119,0.38969990064371657,0.7,-0.5722046010560072,-0.5335763597726548,0.6799560795190183,-0.6,-0.7,-0.7,0.8,0.8,0.698356806163329,0.8,0.11416836303733247,-0.8,0.5126473258801916,0.5843284010274894,0.70875311110652,0.45904740252984677,0.6008162019903478,0.30553108975773735,0.5009401442446275,-0.4011009910138606,0.5105939754526811,0.644734494335372,0.5739706910319502,-0.164699656505612,-0.7,-0.8
p27Kip1,0,0,0.44547018569324265,-0.2962952228112893,0,0,0,0,0.7180408986310554,-0.5634792593654373,-0.3379124756996976,0,0.6191015200264081,0.6818031873163555,-0.5501045609360651,0,0,0,0,0,-0.6648622104505348,0,-0.08644140935982222,0,-0.29501780619849305,-0.7035654035533698,-0.6024660391931931,-0.4121332111362295,-0.6414422054942396,-0.33292582963054723,-0.5025491257567957,0.45911949523269263,-0.5081302474003995,-0.6392310351390227,-0.6245593861887084,0.17300903764539158,0,0
p21,0,0,0.4671171256942981,-0.2500303612554327,0,0,0,0,0.5356649927128883,-0.48704525729471726,-0.16900977074775034,0,0.5379207559486858,0.4023506176559928,-0.36326087265709794,0,0,0,0,0,-0.4852544998086894,0,-0.06334541172393685,0,-0.08449183757872664,-0.41846697950698086,-0.6152667029625056,-0.3327657272752009,-0.4492287989906741,-0.3449392311488122,-0.4319303039383794,0.48726850024605267,-0.43682037889170583,-0.4663898071153417,-0.44016344330469304,0.17404204965667605,0,0
Myc,0,0,-0.4715779427417049,0.3337754841771513,0,0,0,0,-0.564535294071462,0.5949402388507612,0.4007080831694447,0,-0.5566780025391933,-0.5535804785042397,0.5300267028924222,0,0,0,0,0,0.6035541478191875,0,-0.005714361645837021,0,0.40319504787498806,0.5709787411757292,0.6821291496376791,0.42301875642114456,0.6050887905282816,0.25141163941080413,0.5283149783418135,-0.37735089603776933,0.5382331850082046,0.5836829317318208,0.5677298265146666,-0.1156177725705079,0,0
Mst1_2,-0.9,-0.8,0.4546107992927545,-0.33437028243122574,-0.8,-0.8,-0.7,-0.7,0.5678876248666387,-0.5746441815207882,-0.3789175712581431,-0.6,0.5557248196324054,0.5212532187954408,-0.6563119232618664,0.6,0.5,0.6,-0.7,-0.8,-0.6845487949853399,-0.8,-0.08437769108897285,0.8,-0.475513585294259,-0.5670538906879381,-0.6891174434537689,-0.44115521815042824,-0.585807267334683,-0.28655462969943035,-0.4912985572716265,0.3853525733980182,-0.5005416956774256,-0.6353034636985658,-0.5588667205035613,0.1507512965002204,0.7,0.5
Merlin,-1,-0.9,0.5010630564384926,-0.365418018145918,-0.9,-1,-0.8,-0.9,0.6194676371768929,-0.6253363063607521,-0.423531090183421,-0.8,0.6051429127443189,0.5843284010274894,-0.7168631396403641,0.7,0.7,0.8,-0.9,-0.9,-0.7389031951273538,-0.9,-0.09512980849814512,0.9,-0.5268243030757278,-0.6225313774177769,-0.7532692935417488,-0.4758077044932749,-0.6448888114358472,-0.31429349474751034,-0.5443189647226846,0.4251337838596875,-0.5557475818337775,-0.698356806163329,-0.6093655739483264,0.16225538526632907,0.8,0.9
Lats1_2,-1,-0.9,0.4856760459694187,-0.35194308519869183,-0.9,-0.9,-0.8,-0.8,0.5977255117275388,-0.6092423623019115,-0.4105181124348725,-0.7,0.5847754516146717,0.5670538906879381,-0.6879912081291473,0.7,0.6,0.6,-0.8,-0.9,-0.7211229771309363,-0.9,-0.06573683623497578,0.9,-0.48738476536007946,-0.6009049747887552,-0.7279278770806172,-0.4554575642798864,-0.6256519787978412,-0.29340442217796536,-0.5313519276474125,0.4065335774685745,-0.5421065293502022,-0.6845487949853399,-0.5905382675798018,0.14768570807053258,0.8,0.6
IQGAP1_LeadingE,0.9,0.8,-0.47666151003798235,0.3537226365216505,0.8,0.8,0.8,0.9,-0.6023792658733909,0.5982269132882707,0.39665577779030486,0.8,-0.5887501226232793,-0.5452831817581416,0.7078925044560691,-0.8,-0.7,-0.7,0.9,1,0.7124322898317408,0.9,0.14315797057855142,-0.8,0.5610190688815786,0.6024844697226355,0.7307542735514082,0.4769038211423121,0.6168250027964797,0.3212888345717628,0.5083707143845376,-0.4142291841505169,0.5190976287301661,0.6535469955471617,0.5888704838556754,-0.17446407144045137,-0.9,-0.6
