Source,U_Kinetochores,SMAC,Replication,Plk1_H,MCL_1,Mad2,IAPs,f4N_DNA,Ect2,Cytokinesis,Cyto_C,Casp9,Casp8,Casp3,Casp2,BIM,BIK,BID,BCLXL,BCL2,BAX,BAK,BAD,A_Kinetochores
U_Kinetochores,0.0019129137570175821,0.5086643945527702,-0.25798997883114,0,-0.42034040341758444,-0.032333010762303695,-0.45944467694068203,0.20215304497998496,-0.21243188783722236,-0.21703532655047802,0.5086643945527702,0.5207847469821842,0.4379788574035989,0.4932063115137346,0.32750048908328644,0.5455474174525824,0.5455474174525824,0.5234175053849394,-0.6092988390827965,-0.6400243164758905,0.5648500601862605,0.5648500601862605,0.44599351455591735,0.2600342874724181
SMAC,0,0.6,0,0,-0.8,0,-0.6,0,0,0,0.6,0.9,0.8,0.9,0.8,0.7,0.7,0.7,-0.8,-0.8,0.7,0.7,0.8,0
Replication,0.10196378616083561,0.235471056307754,-0.010058822860975553,0,-0.14087267148885566,-0.07887422770566896,-0.24011821637660083,0.21243188783722236,0.057019975749324624,0.05932745420359207,0.235471056307754,0.273089649579715,0.23657035848047087,0.2700326408789234,0.09287708011712889,0.197945440432703,0.197945440432703,0.1729984305904956,-0.21070737701047731,-0.24106992170601385,0.2347894029357453,0.2347894029357453,0.2420359032894054,0.25937863022938795
Plk1_H,-0.09424431282008094,-0.2398571197708567,0.28894028075062556,1,0.11291352066525469,0.08749673458725182,0.2226596675415573,-0.2182698944517126,0.3723719740871444,0.38219653549065313,-0.2398571197708567,-0.2325,-0.1,-0.18095238095238095,-0.06444771661338902,-0.19919903398809863,-0.19919903398809863,-0.17134064643552993,0.19705567769733265,0.2350628214421318,-0.24011821637660083,-0.24011821637660083,-0.1,-0.25798997883114
MCL_1,0,-0.9,0,0,0.6,0,0.8,0,0,0,-0.9,-0.8,-0.6,-0.7,-0.6,-1,-1,-1,1,1,-1,-1,-0.6,0
Mad2,0,0.7,0,0,-0.5,0,-0.6,0,0,0,0.7,0.6,0.4,0.5,0.5,0.8,0.8,0.9,-0.8,-0.8,0.8,0.8,0.4,0
IAPs,0,-0.7,0,0,0.9,0,0.6,0,0,0,-0.7,-1,-0.9,-1,-0.9,-0.8,-0.8,-0.8,0.9,0.9,-0.8,-0.8,-0.9,0
f4N_DNA,0.060689469354566074,0.2049936061044162,-0.21243188783722236,0,-0.1327625776396006,-0.07100265646221884,-0.20365910599503093,0.01636281707779241,0.022821256841990052,0.025450886471619683,0.2049936061044162,0.2508723933640301,0.2559799415714089,0.2673997673307685,0.08743174221563901,0.18071063732294396,0.18071063732294396,0.1602230807553821,-0.19858301084724955,-0.22665469305559255,0.21507608257863775,0.21507608257863775,0.26726113671274965,0.20532441190863343
Ect2,-0.06356890635050792,-0.21071943975626328,0.2182698944517126,0,0.09384475062048885,0.07056374561531654,0.2179767441860465,-0.1249770853626444,-0.0310449687647311,0.06675849944336139,-0.21071943975626328,-0.24488970776395927,-0.17894736842105263,-0.22911801688521644,-0.05808831028634246,-0.16180822561029878,-0.16180822561029878,-0.13545447811672937,0.169801687567552,0.20503479087444282,-0.20365910599503093,-0.20365910599503093,-0.18095238095238095,-0.20215304497998496
Cytokinesis,-0.06343021009530682,-0.20365910599503093,0.21703532655047802,0,0.11719639897213721,0.0692920693147385,0.21071943975626328,-0.11808695500882689,-0.025450886471619683,-0.0310449687647311,-0.20365910599503093,-0.25042563238115595,-0.22911801688521644,-0.2559799415714089,-0.0769112902022696,-0.16792789922770585,-0.16792789922770585,-0.1452852444221106,0.1836641682219849,0.21366393093088126,-0.2049936061044162,-0.2049936061044162,-0.23580952380952383,-0.20543552301974458
Cyto_C,0,0.6,0,0,-0.8,0,-0.5,0,0,0,0.6,0.9,0.8,0.9,0.8,0.7,0.7,0.7,-0.8,-0.8,0.7,0.7,0.8,0
Casp9,0,0.7,0,0,-0.9,0,-0.6,0,0,0,0.7,0.9,0.9,1,0.9,0.8,0.8,0.8,-0.9,-0.9,0.8,0.8,0.9,0
Casp8,0,0.8,0,0,-0.9,0,-0.7,0,0,0,0.8,0.9,0.9,1,0.9,0.8,0.8,0.9,-0.9,-0.9,0.9,0.9,1,0
Casp3,0,0.8,0,0,-1,0,-0.7,0,0,0,0.8,1,1,1,1,0.9,0.9,0.9,-1,-1,0.9,0.9,1,0
Casp2,0,0.8,0,0,-0.6,0,-0.7,0,0,0,0.8,0.7,0.5,0.6,0.5,0.9,0.9,1,-0.9,-0.9,0.9,0.9,0.5,0
BIM,0,0.9,0,0,-0.6,0,-0.8,0,0,0,0.9,0.8,0.6,0.7,0.6,0.9,0.9,0.9,-0.8,-0.9,1,1,0.6,0
BIK,0,0.9,0,0,-0.6,0,-0.8,0,0,0,0.9,0.8,0.6,0.7,0.6,0.9,0.9,0.9,-0.8,-0.9,1,1,0.6,0
BID,0,0.5,0,0,-0.6,0,-0.4,0,0,0,0.5,0.8,0.6,0.7,0.6,0.5,0.5,0.5,-0.6,-0.6,0.6,0.6,0.6,0
BCLXL,0,-0.9,0,0,0.6,0,0.8,0,0,0,-0.9,-0.8,-0.6,-0.7,-0.6,-1,-1,-1,0.9,1,-1,-1,-0.6,0
BCL2,0,-0.9,0,0,0.6,0,0.8,0,0,0,-0.9,-0.8,-0.6,-0.7,-0.6,-1,-1,-1,0.9,0.9,-1,-1,-0.6,0
BAX,0,0.6,0,0,-0.7,0,-0.5,0,0,0,0.6,0.9,0.7,0.8,0.7,0.6,0.6,0.6,-0.7,-0.7,0.6,0.6,0.7,0
BAK,0,0.6,0,0,-0.7,0,-0.5,0,0,0,0.6,0.9,0.7,0.8,0.7,0.6,0.6,0.6,-0.7,-0.7,0.6,0.6,0.7,0
BAD,0,0.8,0,0,-0.5,0,-0.7,0,0,0,0.8,0.7,0.5,0.6,0.5,0.9,0.9,0.9,-1,-1,0.9,0.9,0.5,0
A_Kinetochores,-0.21243188783722236,-0.484561713209337,-0.09424431282008094,0,0.4204502218171415,-0.20911360989307118,0.4494594948535301,0.06356890635050792,0.003998145218664333,3.9304261189783277e-4,-0.484561713209337,-0.49157301392690017,-0.3786805097780707,-0.4486133007225348,-0.35251864377570175,-0.5034797674545656,-0.5034797674545656,-0.4826018111284108,0.560166803194204,0.5909849388567615,-0.5274754611750909,-0.5274754611750909,-0.3820803084368976,0.0019129137570175821
